,race_code,date,start_time,avg_speed_winner,race_category,distance,points_scale,uci_scale,parcours_type,profilescore,vert_meters,departure,arrival,race_ranking,startlist_quality_score,won_how,race_name,year,stage_number,type_race,prestige,time_trial,final_stage,type_win,sprint_type,solo_win
40,giro-dell-emilia/2019,2019-10-05,11:30:00,40.39,me - men elite,207.4,1.pro,uci.wr.pro,mountain_uphill_finish,205.0,3307.0,bologna,san luca,0,734,0.8 km solo,giro-dell-emilia,2019,0,one-day-race,other-classic,0,0,solo,no sprint,0.8
41,circuit-franco-belge/2019,2019-10-05,13:05:00,46.534,me - men elite,176.7,1.pro,uci.wr.pro,hill_flat_finish,20.0,1493.0,la louvière,tournai,0,238,sprint of large group,circuit-franco-belge,2019,0,one-day-race,other-classic,0,0,sprint,large,
42,gp-bruno-beghelli/2019,2019-10-06,11:45:00,43.329,me - men elite,199.3,1.pro,uci.wr.pro,hill_flat_finish,52.0,1682.0,monteveglio,monteveglio,0,536,sprint of small group,gp-bruno-beghelli,2019,0,one-day-race,other-classic,0,0,sprint,small,
43,tre-valli-varesine/2019,2019-10-08,12:00:00,42.27,me - men elite,197.8,1.pro,uci.wr.pro,hill_flat_finish,138.0,3153.0,saronno,varese,0,837,0.5 km solo,tre-valli-varesine,2019,0,one-day-race,other-classic,0,0,solo,no sprint,0.5
44,milano-torino/2019,2019-10-09,12:15:00,44.053,me - men elite,179.0,1.pro,uci.wr.pro,mountain_uphill_finish,167.0,1413.0,magenta,torino,0,748,0.3 km solo,milano-torino,2019,0,one-day-race,other-classic,0,0,solo,no sprint,0.3
45,gran-piemonte/2019,2019-10-10,12:00:00,41.549,me - men elite,183.0,1.pro,uci.wr.pro,mountain_uphill_finish,195.0,2150.0,agliè,santuario di oropa,0,423,0.4 km solo,gran-piemonte,2019,0,one-day-race,other-classic,0,0,solo,no sprint,0.4
46,paris-tours/2019,2019-10-13,11:40:00,38.943,me - men elite,217.0,1.pro,uci.wr.pro,hill_flat_finish,29.0,1254.0,chartres,tours,0,300,44 km solo,paris-tours,2019,0,one-day-race,other-classic,0,0,solo,no sprint,44.0
47,l-etoile-d-or/2019,2019-05-04,,42.39,mu - men u23,180.0,e-1.ncup,uci.wr.ncup,hill_flat_finish,,,lussac-les-châteaux,civaux,0,7,? - let us know!,l-etoile-d-or,2019,0,one-day-race,other-classic,0,0,other,no sprint,
48,great-ocean-race/2020,2020-02-02,11:10:00,41.76,me - men elite,171.1,1.wt.b,uci.wr.c3,hill_flat_finish,79.0,1531.0,geelong,geelong,55,381,sprint a deux,great-ocean-race,2020,0,one-day-race,other-classic,0,0,sprint,a deux,
49,omloop-het-nieuwsblad/2020,2020-02-29,11:43:00,39.55,me - men elite,200.0,1.wt.b,uci.wr.c3,hill_flat_finish,49.0,1663.0,ghent,ninove,27,713,sprint a deux,omloop-het-nieuwsblad,2020,0,one-day-race,other-classic,0,0,sprint,a deux,
50,strade-bianche/2020,2020-08-01,13:45:00,36.93,me - men elite,184.0,1.wt.b,uci.wr.c3,hill_uphill_finish,159.0,3073.0,siena,siena,6,824,12.5 km solo,strade-bianche,2020,0,one-day-race,other-classic,0,0,solo,no sprint,12.5
51,milano-sanremo/2020,2020-08-08,11:00:00,41.96,me - men elite,305.0,1.wt.a,uci.wr.c1,hill_flat_finish,68.0,2803.0,milano,sanremo,4,982,sprint a deux,milano-sanremo,2020,0,one-day-race,other-classic,0,0,sprint,a deux,
52,il-lombardia/2020,2020-08-15,12:25:00,41.63,me - men elite,231.0,1.wt.a,uci.wr.c1,hill_flat_finish,260.0,3975.0,bergamo,como,18,651,6.3 km solo,il-lombardia,2020,0,one-day-race,other-classic,0,0,solo,no sprint,6.3
53,bretagne-classic/2020,2020-08-25,09:45:00,41.15,me - men elite,247.75,1.wt.b,uci.wr.c2,hill_flat_finish,76.0,2881.0,plouay,plouay,40,331,sprint of small group,bretagne-classic,2020,0,one-day-race,other-classic,0,0,sprint,small,
54,la-fleche-wallone/2020,2020-09-30,11:30:00,41.9,me - men elite,202.0,1.wt.b,uci.wr.c2,hill_uphill_finish,167.0,3124.0,herve,mur de huy,17,599,sprint of small group,la-fleche-wallone,2020,0,one-day-race,other-classic,0,0,sprint,small,
55,liege-bastogne-liege/2020,2020-10-04,10:25:00,39.33,me - men elite,257.0,1.wt.a,uci.wr.c1,hill_flat_finish,182.0,4353.0,liège,liège,6,865,sprint of small group,liege-bastogne-liege,2020,0,one-day-race,other-classic,0,0,sprint,small,
56,gent-wevelgem/2020,2020-10-11,10:18:00,43.68,me - men elite,232.5,1.wt.b,uci.wr.c1,flat,33.0,1360.0,ypres,wevelgem,12,703,sprint of small group,gent-wevelgem,2020,0,one-day-race,other-classic,0,0,sprint,small,
57,ronde-van-vlaanderen/2020,2020-10-18,10:03:00,42.52,me - men elite,243.3,1.wt.a,uci.wr.c1,flat,79.0,2014.0,antwerpen,oudenaarde,8,806,sprint a deux,ronde-van-vlaanderen,2020,0,one-day-race,other-classic,0,0,sprint,a deux,
58,oxyclean-classic-brugge-de-panne/2020,2020-10-21,11:20:00,47.71,me - men elite,188.6,1.wt.b,uci.wr.c3,flat,0.0,249.0,brugge,de panne,24,557,4 km solo,oxyclean-classic-brugge-de-panne,2020,0,one-day-race,other-classic,0,0,solo,no sprint,4.0
59,world-championship-itt/2020,2020-09-25,14:30:00,52.98,me - men elite,31.7,worlds.tt,uci.wr.wo.tt - tm2022,flat,7.0,167.0,imola,imola,59,233,time trial,world-championship-itt,2020,0,one-day-race,other-classic,1,0,time trial,no sprint,
60,world-championship/2020,2020-09-27,09:55:00,38.87,me - men elite,258.2,worlds.rr,uci.wr.wo - tm2022,hill_flat_finish,208.0,4662.0,imola,imola,2,1233,12 km solo,world-championship,2020,0,one-day-race,other-classic,0,0,solo,no sprint,12.0
61,clasica-de-almeria/2020,2020-02-16,13:30:00,42.63,me - men elite,187.6,1.pro,uci.wr.pro,hill_flat_finish,27.0,1681.0,roquetas de mar,roquetas de mar,56,386,sprint of large group,clasica-de-almeria,2020,0,one-day-race,other-classic,0,0,sprint,large,
