,team_historical_code,team_code_2023,archive_url,team_name,wins,points,pcs_ranking
63,corendon-circus-2019,alpecin-deceuninck-2023,https://www.procyclingstats.com/team/corendon-circus-2019,corendon - circus,21,3252,21
64,astana-qazaqstan-team-2022,astana-qazaqstan-team-2023,https://www.procyclingstats.com/team/astana-qazaqstan-team-2022,astana qazaqstan team,5,4084,21
65,astana-premier-tech-2021,astana-qazaqstan-team-2023,https://www.procyclingstats.com/team/astana-premier-tech-2021,astana - premier tech,13,5989,11
66,astana-pro-team-2020,astana-qazaqstan-team-2023,https://www.procyclingstats.com/team/astana-pro-team-2020,astana pro team,15,5659,7
67,astana-pro-team-2019,astana-qazaqstan-team-2023,https://www.procyclingstats.com/team/astana-pro-team-2019,astana pro team,37,10340,5
68,bahrain-victorious-2022,bahrain-victorious-2023,https://www.procyclingstats.com/team/bahrain-victorious-2022,bahrain - victorious,21,9156,5
69,bahrain-victorious-2021,bahrain-victorious-2023,https://www.procyclingstats.com/team/bahrain-victorious-2021,bahrain - victorious,30,9470,4
70,bahrain-mclaren-2020,bahrain-victorious-2023,https://www.procyclingstats.com/team/bahrain-mclaren-2020,bahrain - mclaren,9,4696,12
71,bahrain-merida-2019,bahrain-victorious-2023,https://www.procyclingstats.com/team/bahrain-merida-2019,bahrain merida,16,6829,11
72,bingoal-pauwels-sauzen-wb-2022,bingoal-wb-2023,https://www.procyclingstats.com/team/bingoal-pauwels-sauzen-wb-2022,bingoal pauwels sauces wb,2,1773,25
73,bingoal-pauwels-sauzen-wb-2021,bingoal-wb-2023,https://www.procyclingstats.com/team/bingoal-pauwels-sauzen-wb-2021,bingoal pauwels sauces wb,3,1844,25
74,bingoal-wallonie-bruxelles-2020,bingoal-wb-2023,https://www.procyclingstats.com/team/bingoal-wallonie-bruxelles-2020,bingoal - wallonie bruxelles,0,702,30
75,wallonie-bruxelles-2019,bingoal-wb-2023,https://www.procyclingstats.com/team/wallonie-bruxelles-2019,wallonie-bruxelles,7,2344,27
76,bolton-equities-black-spoke-pro-cycling-2022,bolton-equities-black-spoke-2023,https://www.procyclingstats.com/team/bolton-equities-black-spoke-pro-cycling-2022,bolton equities black spoke pro cycling,15,710,33
