,rider_code,nb_race_time_trial,nb_win_time_trial,nb_pod_time_trial,nb_top10_time_trial,pts_time_trial,avg_rnk_time_trial,pct_win_time_trial,pct_pod_time_trial,pct_top10_time_trial,avg_pts_time_trial
348,ilan-van-wilder,7,0,0,2,23.0,45.6,0.0,0.0,0.2857142857142857,3.2857142857142856
349,jesus-herrada-lopez,11,0,0,0,0.0,71.27272727272727,0.0,0.0,0.0,0.0
350,kobe-goossens,11,0,0,0,0.0,58.81818181818182,0.0,0.0,0.0,0.0
351,clement-champoussin,11,0,0,0,0.0,49.666666666666664,0.0,0.0,0.0,0.0
352,jose-herrada,9,0,0,0,0.0,85.625,0.0,0.0,0.0,0.0
353,antonio-tiberi,8,0,0,0,0.0,42.875,0.0,0.0,0.0,0.0
354,steff-cras,13,0,0,0,0.0,52.46153846153846,0.0,0.0,0.0,0.0
355,marc-hirschi,17,0,0,0,0.0,70.76470588235294,0.0,0.0,0.0,0.0
356,dion-smith,10,0,0,0,0.0,74.5,0.0,0.0,0.0,0.0
357,andreas-kron,12,0,0,0,0.0,73.16666666666667,0.0,0.0,0.0,0.0
358,marco-brenner,6,0,0,1,10.0,50.666666666666664,0.0,0.0,0.16666666666666666,1.6666666666666667
359,jack-haig,13,0,0,0,0.0,53.69230769230769,0.0,0.0,0.0,0.0
360,stephen-williams,7,0,0,0,0.0,87.85714285714286,0.0,0.0,0.0,0.0
361,javier-romo,3,0,0,0,0.0,56.0,0.0,0.0,0.0,0.0
362,jake-stewart,5,0,0,0,0.0,78.2,0.0,0.0,0.0,0.0
363,neilson-powless,18,0,0,1,13.0,36.5,0.0,0.0,0.05555555555555555,0.7222222222222222
364,stefan-bissegger,15,3,6,10,455.0,20.466666666666665,0.2,0.4,0.6666666666666666,30.333333333333332
365,owain-doull,10,0,0,0,0.0,53.9,0.0,0.0,0.0,0.0
366,joel-suter,3,0,0,0,0.0,70.66666666666667,0.0,0.0,0.0,0.0
367,thomas-champion,7,0,0,0,0.0,103.14285714285714,0.0,0.0,0.0,0.0
368,christopher-froome,12,0,0,0,0.0,91.36363636363636,0.0,0.0,0.0,0.0
369,alexander-edmondson,7,0,0,0,0.0,35.714285714285715,0.0,0.0,0.0,0.0
370,johan-jacobs,7,0,0,0,0.0,56.0,0.0,0.0,0.0,0.0
371,charlie-quarterman,4,0,0,0,0.0,35.25,0.0,0.0,0.0,0.0
372,jordi-meeus,10,0,0,0,0.0,103.22222222222223,0.0,0.0,0.0,0.0
373,fabian-lienhard,8,0,0,0,0.0,102.625,0.0,0.0,0.0,0.0
374,mathias-norsgaard,8,0,0,1,7.0,56.333333333333336,0.0,0.0,0.125,0.875
375,gerben-thijssen,3,0,0,0,0.0,115.33333333333333,0.0,0.0,0.0,0.0
376,gino-mader,16,0,2,2,36.0,44.8125,0.0,0.125,0.125,2.25
377,simon-geschke,15,0,1,1,30.0,73.73333333333333,0.0,0.06666666666666667,0.06666666666666667,2.0
378,juan-ayuso-pesquera,3,0,0,2,4.0,11.666666666666666,0.0,0.0,0.6666666666666666,1.3333333333333333
379,luke-plapp,5,0,1,1,44.0,43.4,0.0,0.2,0.2,8.8
380,carlos-verona,18,0,0,0,0.0,117.88888888888889,0.0,0.0,0.0,0.0
381,sean-quinn,4,0,0,0,0.0,40.0,0.0,0.0,0.0,0.0
382,finn-fisher-black,5,0,0,0,10.0,40.4,0.0,0.0,0.0,2.0
383,dylan-teuns,14,0,0,2,18.0,30.571428571428573,0.0,0.0,0.14285714285714285,1.2857142857142858
384,andreas-leknessund,13,0,0,0,40.0,33.76923076923077,0.0,0.0,0.0,3.076923076923077
385,abner-gonzalez-rivera,2,0,0,0,0.0,48.0,0.0,0.0,0.0,0.0
386,jose-felix-parra,3,0,0,0,0.0,78.0,0.0,0.0,0.0,0.0
387,quentin-pacher,11,0,0,0,0.0,79.63636363636364,0.0,0.0,0.0,0.0
388,ruben-fernandez,14,0,0,0,0.0,75.57142857142857,0.0,0.0,0.0,0.0
389,oscar-rodriguez,13,0,0,0,0.0,42.69230769230769,0.0,0.0,0.0,0.0
390,ben-healy,3,0,0,0,0.0,30.0,0.0,0.0,0.0,0.0
391,magnus-sheffield,4,0,1,2,40.0,19.25,0.0,0.25,0.5,10.0
392,pau-miquel-delgado,2,0,0,0,0.0,77.5,0.0,0.0,0.0,0.0
393,anton-palzer,5,0,0,0,0.0,86.6,0.0,0.0,0.0,0.0
394,maximilian-schachmann,14,1,1,4,82.0,25.615384615384617,0.07142857142857142,0.07142857142857142,0.2857142857142857,5.857142857142857
395,stefan-de-bod,16,0,0,3,34.0,30.8,0.0,0.0,0.1875,2.125
396,ethan-hayter,8,0,2,5,223.0,8.833333333333334,0.0,0.25,0.625,27.875
397,yannis-voisard,2,0,0,0,0.0,60.5,0.0,0.0,0.0,0.0
398,filippo-colombo1,1,0,0,0,0.0,85.0,0.0,0.0,0.0,0.0
399,carlos-garcia-pierna,1,0,0,0,0.0,95.0,0.0,0.0,0.0,0.0
400,urko-berrade-fernandez,4,0,0,0,0.0,71.0,0.0,0.0,0.0,0.0
401,valentin-paret-peintre,2,0,0,0,0.0,111.5,0.0,0.0,0.0,0.0
402,amund-grondahl-jansen,11,0,0,0,0.0,119.27272727272727,0.0,0.0,0.0,0.0
403,sebastien-grignard,5,0,0,0,0.0,99.2,0.0,0.0,0.0,0.0
404,frederik-wandahl,4,0,0,0,0.0,121.0,0.0,0.0,0.0,0.0
405,raul-garcia-pierna,5,0,0,1,0.0,44.4,0.0,0.0,0.2,0.0
406,georg-steinhauser,1,0,0,0,0.0,79.0,0.0,0.0,0.0,0.0
407,harry-sweeny,10,0,0,0,0.0,53.625,0.0,0.0,0.0,0.0
408,michel-hessmann,4,0,0,2,6.0,49.5,0.0,0.0,0.5,1.5
409,nils-brun,1,0,0,0,0.0,84.0,0.0,0.0,0.0,0.0
410,laurens-huys,4,0,0,0,0.0,110.5,0.0,0.0,0.0,0.0
411,casper-pedersen,10,0,0,0,0.0,78.3,0.0,0.0,0.0,0.0
412,johan-price-pejtersen,4,1,1,2,22.0,39.75,0.25,0.25,0.5,5.5
413,julius-johansen,6,0,0,0,0.0,54.0,0.0,0.0,0.0,0.0
414,gregor-muhlberger,12,0,0,0,0.0,93.63636363636364,0.0,0.0,0.0,0.0
415,enric-mas,18,0,0,5,46.0,30.61111111111111,0.0,0.0,0.2777777777777778,2.5555555555555554
416,aurelien-paret-peintre,14,0,0,0,0.0,58.5,0.0,0.0,0.0,0.0
417,matteo-trentin,9,0,0,1,1.0,77.77777777777777,0.0,0.0,0.1111111111111111,0.1111111111111111
418,dries-devenyns,14,0,0,0,0.0,64.78571428571429,0.0,0.0,0.0,0.0
419,paul-ourselin,5,0,0,0,0.0,73.2,0.0,0.0,0.0,0.0
420,sven-erik-bystrom,9,0,0,0,0.0,83.11111111111111,0.0,0.0,0.0,0.0
421,michael-matthews,15,0,1,2,26.0,33.46666666666667,0.0,0.06666666666666667,0.13333333333333333,1.7333333333333334
422,stan-dewulf,11,0,0,0,0.0,76.63636363636364,0.0,0.0,0.0,0.0
423,yuriy-natarov,9,0,0,0,10.0,84.22222222222223,0.0,0.0,0.0,1.1111111111111112
424,lukas-postlberger,10,0,0,1,2.0,56.2,0.0,0.0,0.1,0.2
425,brandon-mcnulty,20,0,3,7,141.0,33.3,0.0,0.15,0.35,7.05
426,pierre-latour,15,0,0,3,48.0,36.266666666666666,0.0,0.0,0.2,3.2
427,ivan-garcia-cortina,12,0,0,0,0.0,77.25,0.0,0.0,0.0,0.0
428,colin-joyce,3,0,0,0,0.0,126.0,0.0,0.0,0.0,0.0
429,john-degenkolb,12,0,0,0,0.0,78.08333333333333,0.0,0.0,0.0,0.0
430,fabien-grellier,7,0,0,0,0.0,103.57142857142857,0.0,0.0,0.0,0.0
431,szymon-sajnok,6,0,0,0,0.0,89.5,0.0,0.0,0.0,0.0
432,luke-rowe,14,0,0,0,0.0,132.64285714285714,0.0,0.0,0.0,0.0
433,alexander-kristoff,11,0,0,0,0.0,106.8,0.0,0.0,0.0,0.0
434,mathieu-burgaudeau,6,0,0,0,0.0,88.5,0.0,0.0,0.0,0.0
435,clement-berthet,3,0,0,0,0.0,63.666666666666664,0.0,0.0,0.0,0.0
436,jonas-rutsch,8,0,0,1,7.0,40.25,0.0,0.0,0.125,0.875
437,bryan-coquard,7,0,0,0,0.0,107.28571428571429,0.0,0.0,0.0,0.0
438,kristian-aasvold,1,0,0,0,0.0,32.0,0.0,0.0,0.0,0.0
439,tim-declercq,11,0,0,0,0.0,84.0909090909091,0.0,0.0,0.0,0.0
440,markus-hoelgaard,2,0,0,0,0.0,88.0,0.0,0.0,0.0,0.0
441,benoit-cosnefroy,13,0,0,0,0.0,100.3076923076923,0.0,0.0,0.0,0.0
