,rider_code,nb_race_one_day,nb_win_one_day,nb_pod_one_day,nb_top10_one_day,pts_one_day,avg_rnk_one_day,pct_win_one_day,pct_pod_one_day,pct_top10_one_day,avg_pts_one_day
828,sandy-dujardin,33,0,2,8,314.0,32.642857142857146,0.0,0.06060606060606061,0.24242424242424243,9.515151515151516
829,kelland-brien,18,0,0,1,84.0,72.2,0.0,0.0,0.05555555555555555,4.666666666666667
830,tuur-dens,20,0,0,0,5.0,83.85714285714286,0.0,0.0,0.0,0.25
831,william-blume-levy,19,0,0,0,21.0,83.25,0.0,0.0,0.0,1.105263157894737
832,victor-koretzky,14,0,0,0,25.0,56.666666666666664,0.0,0.0,0.0,1.7857142857142858
833,jenno-berckmoes,21,0,0,2,84.0,48.1875,0.0,0.0,0.09523809523809523,4.0
834,vito-braet,29,0,0,2,76.0,53.458333333333336,0.0,0.0,0.06896551724137931,2.6206896551724137
835,cian-uijtdebroeks,12,0,0,1,41.0,40.9,0.0,0.0,0.08333333333333333,3.4166666666666665
836,vinicius-rangel-costa,13,0,0,0,15.0,86.33333333333333,0.0,0.0,0.0,1.1538461538461537
837,kamiel-bonneu,23,0,0,2,50.0,64.77777777777777,0.0,0.0,0.08695652173913043,2.1739130434782608
838,eugenio-sanchez,15,0,0,0,5.0,83.33333333333333,0.0,0.0,0.0,0.3333333333333333
839,anders-halland-johannessen,6,0,0,0,10.0,87.0,0.0,0.0,0.0,1.6666666666666667
840,igor-arrieta-lizarraga,18,0,0,0,6.0,48.142857142857146,0.0,0.0,0.0,0.3333333333333333
841,marc-brustenga-masague,12,0,0,0,5.0,96.0,0.0,0.0,0.0,0.4166666666666667
842,madis-mihkels,7,0,0,3,90.0,15.4,0.0,0.0,0.42857142857142855,12.857142857142858
843,martin-svrcek,10,0,0,0,5.0,37.25,0.0,0.0,0.0,0.5
844,lennert-van-eetvelt,9,0,2,2,99.0,21.285714285714285,0.0,0.2222222222222222,0.2222222222222222,11.0
845,bastien-tronchon,5,0,0,0,3.0,53.0,0.0,0.0,0.0,0.6
846,alec-segaert,3,0,0,0,4.0,27.666666666666668,0.0,0.0,0.0,1.3333333333333333
847,romain-gregoire1,13,0,0,3,136.0,37.0,0.0,0.0,0.23076923076923078,10.461538461538462
848,nils-brun,12,0,0,0,5.0,56.72727272727273,0.0,0.0,0.0,0.4166666666666667
849,sebastian-kolze-changizi,8,0,0,0,0.0,85.8,0.0,0.0,0.0,0.0
850,fran-miholjevic,3,0,0,0,0.0,53.0,0.0,0.0,0.0,0.0
851,enekoitz-azparren-irurzun,5,0,0,0,0.0,72.66666666666667,0.0,0.0,0.0,0.0
852,ivan-romeo,7,0,0,0,5.0,84.66666666666667,0.0,0.0,0.0,0.7142857142857143
853,nurbergen-nurlykhassym,10,0,0,0,0.0,79.33333333333333,0.0,0.0,0.0,0.0
854,scott-mcgill,2,0,0,0,15.0,86.0,0.0,0.0,0.0,7.5
855,derek-gee,12,0,0,0,21.0,58.125,0.0,0.0,0.0,1.75
856,luis-joe-luhrs,17,0,0,0,16.0,62.9,0.0,0.0,0.0,0.9411764705882353
857,asier-etxeberria,8,0,0,0,0.0,68.57142857142857,0.0,0.0,0.0,0.0
858,valentin-paret-peintre,19,0,0,0,3.0,56.6,0.0,0.0,0.0,0.15789473684210525
859,xabier-isasa-larranaga,11,0,0,0,0.0,69.9090909090909,0.0,0.0,0.0,0.0
860,iuri-leitao,3,0,0,0,0.0,99.0,0.0,0.0,0.0,0.0
861,calum-johnston,10,0,0,0,0.0,68.14285714285714,0.0,0.0,0.0,0.0
