,rider_code,nb_dnf_otl,pct_dnf_otl
235,bruno-armirail,17,0.09497206703910614
236,robert-gesink,3,0.016853932584269662
237,ilan-van-wilder,11,0.13414634146341464
238,christopher-froome,5,0.036231884057971016
239,simon-geschke,12,0.05454545454545454
240,oscar-rodriguez,5,0.03571428571428571
241,jonas-vingegaard-rasmussen,5,0.03571428571428571
242,santiago-buitrago-sanchez,6,0.06666666666666667
243,chad-haga,12,0.08163265306122448
244,anthony-perez,3,0.018072289156626505
245,michel-ries,9,0.1111111111111111
246,steff-cras,14,0.08917197452229299
247,lukasz-owsian,10,0.05128205128205128
248,lawson-craddock,11,0.060109289617486336
249,jose-joaquin-rojas,7,0.033816425120772944
250,jorge-arcas,13,0.08024691358024691
251,kevin-vermaerke,9,0.15254237288135594
252,alex-aranburu,6,0.038461538461538464
253,omer-goldstein,20,0.13333333333333333
254,marco-brenner,14,0.175
255,brent-van-moer,11,0.07482993197278912
256,franck-bonnamour,9,0.07563025210084033
257,laurent-pichon,8,0.0784313725490196
258,sebastian-schonberger,8,0.09090909090909091
259,olivier-le-gac,5,0.027777777777777776
260,sven-erik-bystrom,9,0.060810810810810814
261,william-barta,11,0.08208955223880597
262,yuriy-natarov,13,0.14285714285714285
263,pierre-luc-perichon,14,0.07142857142857142
264,andres-camilo-ardila,8,0.16666666666666666
265,sebastien-grignard,21,0.23863636363636365
266,marco-haller,17,0.0776255707762557
267,alexander-kristoff,4,0.021621621621621623
268,shane-archbold,8,0.07339449541284404
269,frederik-wandahl,7,0.11666666666666667
270,clement-russo,12,0.08450704225352113
271,fabio-jakobsen,14,0.1076923076923077
272,michael-schwarzmann,23,0.1270718232044199
273,patrick-gamper,14,0.109375
274,harry-sweeny,11,0.0990990990990991
275,primoz-roglic,1,0.004672897196261682
276,damiano-caruso,3,0.015228426395939087
277,johan-esteban-chaves,0,0.0
278,tobias-halland-johannessen,2,0.06896551724137931
279,matteo-jorgenson,7,0.06796116504854369
280,ethan-hayter,4,0.05714285714285714
281,andrea-bagioli,8,0.07339449541284404
282,jan-hirt,6,0.02727272727272727
283,george-bennett,8,0.03773584905660377
284,luis-leon-sanchez,6,0.023076923076923078
285,andrey-zeits,5,0.04
286,kobe-goossens,13,0.10483870967741936
287,simon-guglielmi,5,0.038461538461538464
288,edward-irl-dunbar,8,0.10810810810810811
289,mattia-cattaneo,10,0.06451612903225806
290,alexis-vuillermoz,9,0.06474820143884892
291,geoffrey-bouchard,1,0.005555555555555556
292,mark-donovan,4,0.03773584905660377
293,michael-storer,4,0.0196078431372549
294,maxim-van-gils,11,0.11224489795918367
295,jonas-gregaard,3,0.02654867256637168
296,hugo-toumire,4,0.09523809523809523
297,mikkel-honore,7,0.03723404255319149
298,matteo-fabbro,9,0.05389221556886228
299,anders-skaarseth,11,0.14666666666666667
300,simone-velasco,1,0.008547008547008548
301,matis-louvel,9,0.08181818181818182
302,tony-gallopin,14,0.07909604519774012
303,antonio-tiberi,9,0.09278350515463918
304,hugo-page,6,0.1
305,javier-romo,9,0.18
306,filippo-conca,15,0.16129032258064516
307,romain-combaud,5,0.04854368932038835
308,victor-lafay,19,0.1623931623931624
309,sean-quinn,5,0.10204081632653061
310,alexandr-riabushenko,32,0.2206896551724138
311,james-shaw,0,0.0
312,laurens-huys,16,0.20253164556962025
313,owain-doull,14,0.08695652173913043
314,thibault-guernalec,11,0.15714285714285714
315,fabien-grellier,15,0.11811023622047244
316,francois-bidard,11,0.08270676691729323
317,eddy-fine,10,0.12345679012345678
318,antwan-tolhoek,10,0.06896551724137931
319,chris-harper,3,0.03614457831325301
320,anthon-charmig,1,0.05263157894736842
321,ivo-emanuel-alves,28,0.21705426356589147
322,thomas-champion,17,0.16037735849056603
323,amund-grondahl-jansen,8,0.055944055944055944
