,rider_code,nb_race_flat,nb_win_flat,nb_pod_flat,nb_top10_flat,pts_flat,avg_rnk_flat,pct_win_flat,pct_pod_flat,pct_top10_flat,avg_pts_flat
124,mikkel-bjerg,59,0,0,1,76.0,75.77358490566037,0.0,0.0,0.01694915254237288,1.2881355932203389
125,thomas-scully,49,0,0,0,55.0,105.5,0.0,0.0,0.0,1.1224489795918366
126,taco-van-der-hoorn,75,3,5,7,567.0,76.72727272727273,0.04,0.06666666666666667,0.09333333333333334,7.56
127,rick-zabel,55,0,0,1,81.0,45.0,0.0,0.0,0.01818181818181818,1.4727272727272727
128,robert-stannard,42,0,0,2,62.0,60.578947368421055,0.0,0.0,0.047619047619047616,1.4761904761904763
129,mattia-bais,15,0,0,0,0.0,95.07142857142857,0.0,0.0,0.0,0.0
130,magnus-cort-nielsen,49,1,3,7,260.0,73.66666666666667,0.02040816326530612,0.061224489795918366,0.14285714285714285,5.3061224489795915
131,tao-geoghegan-hart,33,0,0,0,0.0,89.09375,0.0,0.0,0.0,0.0
132,enric-mas,45,0,0,2,19.0,50.93023255813954,0.0,0.0,0.044444444444444446,0.4222222222222222
133,egan-bernal,27,0,0,4,44.0,26.666666666666668,0.0,0.0,0.14814814814814814,1.6296296296296295
134,geraint-thomas,33,0,0,0,3.0,62.375,0.0,0.0,0.0,0.09090909090909091
135,steven-kruijswijk,32,0,0,0,0.0,60.064516129032256,0.0,0.0,0.0,0.0
136,guillaume-martin,48,0,0,0,0.0,48.458333333333336,0.0,0.0,0.0,0.0
137,david-gaudu,38,0,0,0,0.0,58.18421052631579,0.0,0.0,0.0,0.0
138,sebastien-reichenbach,29,0,0,0,0.0,108.03448275862068,0.0,0.0,0.0,0.0
139,david-martin-romero,36,0,0,0,5.0,74.33333333333333,0.0,0.0,0.0,0.1388888888888889
140,aleksey-lutsenko,48,0,0,1,92.0,65.28260869565217,0.0,0.0,0.020833333333333332,1.9166666666666667
141,jesus-herrada-lopez,35,0,0,0,0.0,122.34285714285714,0.0,0.0,0.0,0.0
142,laurens-de-plus,20,0,0,0,0.0,86.85,0.0,0.0,0.0,0.0
143,george-bennett,42,0,0,0,0.0,80.52380952380952,0.0,0.0,0.0,0.0
144,gregor-muhlberger,36,0,0,0,0.0,88.17142857142858,0.0,0.0,0.0,0.0
145,wout-poels,52,0,0,1,2.0,94.6923076923077,0.0,0.0,0.019230769230769232,0.038461538461538464
146,bauke-mollema,43,0,0,1,3.0,84.09302325581395,0.0,0.0,0.023255813953488372,0.06976744186046512
147,adam-yates,41,0,0,2,21.0,40.34146341463415,0.0,0.0,0.04878048780487805,0.5121951219512195
148,julien-bernard,34,0,0,0,8.0,91.23529411764706,0.0,0.0,0.0,0.23529411764705882
149,michael-woods,27,0,0,0,0.0,88.79166666666667,0.0,0.0,0.0,0.0
150,rudy-molard,37,0,0,1,22.0,51.891891891891895,0.0,0.0,0.02702702702702703,0.5945945945945946
151,mikael-cherel,33,0,0,0,1.0,70.75757575757575,0.0,0.0,0.0,0.030303030303030304
152,patrick-konrad,41,0,0,1,82.0,61.475,0.0,0.0,0.024390243902439025,2.0
153,jack-haig,32,0,0,0,0.0,73.6,0.0,0.0,0.0,0.0
154,lennard-kamna,32,0,0,0,5.0,89.93333333333334,0.0,0.0,0.0,0.15625
155,alexis-vuillermoz,24,0,1,1,60.0,85.26086956521739,0.0,0.041666666666666664,0.041666666666666664,2.5
156,gorka-izagirre,48,0,0,0,5.0,57.69565217391305,0.0,0.0,0.0,0.10416666666666667
157,jasper-stuyven,63,1,4,29,1312.0,21.34426229508197,0.015873015873015872,0.06349206349206349,0.4603174603174603,20.825396825396826
158,dylan-teuns,42,0,0,3,156.0,59.425,0.0,0.0,0.07142857142857142,3.7142857142857144
159,nicolas-edet,54,0,0,0,0.0,104.07407407407408,0.0,0.0,0.0,0.0
160,dylan-van-baarle,63,1,1,2,385.0,87.49180327868852,0.015873015873015872,0.015873015873015872,0.031746031746031744,6.111111111111111
161,simon-yates,29,0,0,0,5.0,89.71428571428571,0.0,0.0,0.0,0.1724137931034483
162,jonathan-castroviejo,39,0,0,0,0.0,122.57894736842105,0.0,0.0,0.0,0.0
163,matteo-trentin,57,1,6,22,1083.0,30.48076923076923,0.017543859649122806,0.10526315789473684,0.38596491228070173,19.0
164,rui-costa,31,0,0,0,0.0,88.70967741935483,0.0,0.0,0.0,0.0
165,andrey-amador,48,0,0,0,5.0,84.625,0.0,0.0,0.0,0.10416666666666667
166,tony-gallopin,41,0,0,1,30.0,79.525,0.0,0.0,0.024390243902439025,0.7317073170731707
167,pierre-luc-perichon,46,0,0,1,33.0,93.8,0.0,0.0,0.021739130434782608,0.717391304347826
168,tiesj-benoot,45,1,2,4,448.0,56.55813953488372,0.022222222222222223,0.044444444444444446,0.08888888888888889,9.955555555555556
169,thomas-de-gendt,76,0,0,0,0.0,116.5068493150685,0.0,0.0,0.0,0.0
170,simon-clarke,40,1,1,2,188.0,70.375,0.025,0.025,0.05,4.7
171,simon-geschke,39,0,0,0,0.0,101.5,0.0,0.0,0.0,0.0
172,nils-politt,68,0,1,6,538.0,62.984375,0.0,0.014705882352941176,0.08823529411764706,7.911764705882353
173,fabio-felline,41,0,0,0,20.0,62.12820512820513,0.0,0.0,0.0,0.4878048780487805
174,rein-taaramae,46,0,0,0,0.0,80.15217391304348,0.0,0.0,0.0,0.0
175,oliver-naesen,77,0,2,11,707.0,39.602739726027394,0.0,0.025974025974025976,0.14285714285714285,9.181818181818182
176,alberto-bettiol,38,0,1,3,214.0,56.57142857142857,0.0,0.02631578947368421,0.07894736842105263,5.631578947368421
177,omar-fraile,42,0,0,0,4.0,104.475,0.0,0.0,0.0,0.09523809523809523
178,joey-rosskopf,21,0,0,0,0.0,70.52380952380952,0.0,0.0,0.0,0.0
179,elie-gesbert,23,0,0,0,0.0,91.43478260869566,0.0,0.0,0.0,0.0
180,peter-sagan,48,2,11,32,1224.0,21.617021276595743,0.041666666666666664,0.22916666666666666,0.6666666666666666,25.5
181,michal-kwiatkowski,46,0,0,2,24.0,84.11904761904762,0.0,0.0,0.043478260869565216,0.5217391304347826
182,anthony-delaplace,25,0,0,1,16.0,79.36,0.0,0.0,0.04,0.64
183,hugo-houle,54,0,0,0,58.0,64.72916666666667,0.0,0.0,0.0,1.0740740740740742
184,tim-wellens,37,0,1,3,185.0,68.69444444444444,0.0,0.02702702702702703,0.08108108108108109,5.0
185,paul-ourselin,30,0,0,0,0.0,85.92307692307692,0.0,0.0,0.0,0.0
186,stefan-kung,59,2,3,8,751.0,47.672413793103445,0.03389830508474576,0.05084745762711865,0.13559322033898305,12.728813559322035
187,dries-devenyns,46,0,0,0,0.0,107.06666666666666,0.0,0.0,0.0,0.0
188,jens-keukeleire,60,0,0,2,214.0,73.6,0.0,0.0,0.03333333333333333,3.566666666666667
189,imanol-erviti,64,0,0,0,41.0,65.01666666666667,0.0,0.0,0.0,0.640625
190,mike-teunissen,55,1,2,16,658.0,29.963636363636365,0.01818181818181818,0.03636363636363636,0.2909090909090909,11.963636363636363
191,kevin-ledanois,37,0,0,0,8.0,90.8125,0.0,0.0,0.0,0.21621621621621623
192,carlos-verona,52,0,0,0,1.0,115.75,0.0,0.0,0.0,0.019230769230769232
193,vegard-stake-laengen,78,0,0,0,56.0,81.40845070422536,0.0,0.0,0.0,0.717948717948718
194,luke-durbridge,57,0,1,1,60.0,90.25,0.0,0.017543859649122806,0.017543859649122806,1.0526315789473684
195,odd-christian-eiking,24,0,0,0,0.0,66.125,0.0,0.0,0.0,0.0
196,christopher-juul-jensen,55,0,0,0,20.0,122.92307692307692,0.0,0.0,0.0,0.36363636363636365
