,Unnamed: 0,team_code_history,team_history_url,team_url_2023,URL,Team Name,Wins,Points,PCS Ranking,UCI Ranking
43,6,mitchelton-scott-2019,https://www.procyclingstats.com/team/mitchelton-scott-2019,team-jayco-alula-2023,https://www.procyclingstats.com/team/mitchelton-scott-2019,Mitchelton-Scott,34,8705,10,-
44,5,team-dsm-2022,https://www.procyclingstats.com/team/team-dsm-2022,team-dsm-2023,https://www.procyclingstats.com/team/team-dsm-2022,Team DSM,10,5201,18,20
45,6,team-dsm-2021,https://www.procyclingstats.com/team/team-dsm-2021,team-dsm-2023,https://www.procyclingstats.com/team/team-dsm-2021,Team DSM,8,4889,20,-
46,7,team-sunweb-2020,https://www.procyclingstats.com/team/team-sunweb-2020,team-dsm-2023,https://www.procyclingstats.com/team/team-sunweb-2020,Team Sunweb,16,6638,4,-
47,8,team-sunweb-2019,https://www.procyclingstats.com/team/team-sunweb-2019,team-dsm-2023,https://www.procyclingstats.com/team/team-sunweb-2019,Team Sunweb,9,6589,15,-
48,4,trek-segafredo-2022,https://www.procyclingstats.com/team/trek-segafredo-2022,trek-segafredo-2023,https://www.procyclingstats.com/team/trek-segafredo-2022,Trek - Segafredo,19,7070,13,12
49,5,trek-segafredo-2021,https://www.procyclingstats.com/team/trek-segafredo-2021,trek-segafredo-2023,https://www.procyclingstats.com/team/trek-segafredo-2021,Trek - Segafredo,19,6358,10,-
50,6,trek-segafredo-2020,https://www.procyclingstats.com/team/trek-segafredo-2020,trek-segafredo-2023,https://www.procyclingstats.com/team/trek-segafredo-2020,Trek - Segafredo,10,5507,8,-
51,7,trek-segafredo-2019,https://www.procyclingstats.com/team/trek-segafredo-2019,trek-segafredo-2023,https://www.procyclingstats.com/team/trek-segafredo-2019,Trek - Segafredo,11,6919,12,-
52,3,ag2r-citroen-team-2022,https://www.procyclingstats.com/team/ag2r-citroen-team-2022,ag2r-citroen-team-2023,https://www.procyclingstats.com/team/ag2r-citroen-team-2022,AG2R Citroën Team,11,6787,12,15
53,4,ag2r-citroen-team-2021,https://www.procyclingstats.com/team/ag2r-citroen-team-2021,ag2r-citroen-team-2023,https://www.procyclingstats.com/team/ag2r-citroen-team-2021,AG2R Citroën Team,12,6813,9,-
54,5,ag2r-la-mondiale-2020,https://www.procyclingstats.com/team/ag2r-la-mondiale-2020,ag2r-citroen-team-2023,https://www.procyclingstats.com/team/ag2r-la-mondiale-2020,AG2R La Mondiale,5,3768,14,-
55,6,ag2r-la-mondiale-2019,https://www.procyclingstats.com/team/ag2r-la-mondiale-2019,ag2r-citroen-team-2023,https://www.procyclingstats.com/team/ag2r-la-mondiale-2019,AG2R La Mondiale,14,7095,13,-
56,6,uae-team-emirates-2022,https://www.procyclingstats.com/team/uae-team-emirates-2022,uae-team-emirates-2023,https://www.procyclingstats.com/team/uae-team-emirates-2022,UAE Team Emirates,48,12391,3,2
57,7,uae-team-emirates-2021,https://www.procyclingstats.com/team/uae-team-emirates-2021,uae-team-emirates-2023,https://www.procyclingstats.com/team/uae-team-emirates-2021,UAE Team Emirates,32,10473,5,-
58,8,uae-team-emirates-2020,https://www.procyclingstats.com/team/uae-team-emirates-2020,uae-team-emirates-2023,https://www.procyclingstats.com/team/uae-team-emirates-2020,UAE Team Emirates,33,7768,2,-
59,9,uae-team-emirates-2019,https://www.procyclingstats.com/team/uae-team-emirates-2019,uae-team-emirates-2023,https://www.procyclingstats.com/team/uae-team-emirates-2019,UAE Team Emirates,28,10160,6,-
60,3,alpecin-deceuninck-2022,https://www.procyclingstats.com/team/alpecin-deceuninck-2022,alpecin-deceuninck-2023,https://www.procyclingstats.com/team/alpecin-deceuninck-2022,Alpecin-Deceuninck,34,8062,8,9
61,5,alpecin-fenix-2021,https://www.procyclingstats.com/team/alpecin-fenix-2021,alpecin-deceuninck-2023,https://www.procyclingstats.com/team/alpecin-fenix-2021,Alpecin-Fenix,33,7274,7,-
62,6,alpecin-fenix-2020,https://www.procyclingstats.com/team/alpecin-fenix-2020,alpecin-deceuninck-2023,https://www.procyclingstats.com/team/alpecin-fenix-2020,Alpecin-Fenix,16,3211,16,-
63,7,corendon-circus-2019,https://www.procyclingstats.com/team/corendon-circus-2019,alpecin-deceuninck-2023,https://www.procyclingstats.com/team/corendon-circus-2019,Corendon - Circus,21,3252,21,-
64,2,astana-qazaqstan-team-2022,https://www.procyclingstats.com/team/astana-qazaqstan-team-2022,astana-qazaqstan-team-2023,https://www.procyclingstats.com/team/astana-qazaqstan-team-2022,Astana Qazaqstan Team,5,4084,21,21
65,3,astana-premier-tech-2021,https://www.procyclingstats.com/team/astana-premier-tech-2021,astana-qazaqstan-team-2023,https://www.procyclingstats.com/team/astana-premier-tech-2021,Astana - Premier Tech,13,5989,11,-
66,4,astana-pro-team-2020,https://www.procyclingstats.com/team/astana-pro-team-2020,astana-qazaqstan-team-2023,https://www.procyclingstats.com/team/astana-pro-team-2020,Astana Pro Team,15,5659,7,-
67,5,astana-pro-team-2019,https://www.procyclingstats.com/team/astana-pro-team-2019,astana-qazaqstan-team-2023,https://www.procyclingstats.com/team/astana-pro-team-2019,Astana Pro Team,37,10340,5,-
68,3,bahrain-victorious-2022,https://www.procyclingstats.com/team/bahrain-victorious-2022,bahrain-victorious-2023,https://www.procyclingstats.com/team/bahrain-victorious-2022,Bahrain - Victorious,21,9156,5,8
69,4,bahrain-victorious-2021,https://www.procyclingstats.com/team/bahrain-victorious-2021,bahrain-victorious-2023,https://www.procyclingstats.com/team/bahrain-victorious-2021,Bahrain - Victorious,30,9470,4,-
70,5,bahrain-mclaren-2020,https://www.procyclingstats.com/team/bahrain-mclaren-2020,bahrain-victorious-2023,https://www.procyclingstats.com/team/bahrain-mclaren-2020,Bahrain - McLaren,9,4696,12,-
71,6,bahrain-merida-2019,https://www.procyclingstats.com/team/bahrain-merida-2019,bahrain-victorious-2023,https://www.procyclingstats.com/team/bahrain-merida-2019,Bahrain Merida,16,6829,11,-
72,3,bingoal-pauwels-sauzen-wb-2022,https://www.procyclingstats.com/team/bingoal-pauwels-sauzen-wb-2022,bingoal-wb-2023,https://www.procyclingstats.com/team/bingoal-pauwels-sauzen-wb-2022,Bingoal Pauwels Sauces WB,2,1773,25,25
73,4,bingoal-pauwels-sauzen-wb-2021,https://www.procyclingstats.com/team/bingoal-pauwels-sauzen-wb-2021,bingoal-wb-2023,https://www.procyclingstats.com/team/bingoal-pauwels-sauzen-wb-2021,Bingoal Pauwels Sauces WB,3,1844,25,-
74,6,bingoal-wallonie-bruxelles-2020,https://www.procyclingstats.com/team/bingoal-wallonie-bruxelles-2020,bingoal-wb-2023,https://www.procyclingstats.com/team/bingoal-wallonie-bruxelles-2020,Bingoal - Wallonie Bruxelles,-,702,30,-
75,7,wallonie-bruxelles-2019,https://www.procyclingstats.com/team/wallonie-bruxelles-2019,bingoal-wb-2023,https://www.procyclingstats.com/team/wallonie-bruxelles-2019,Wallonie-Bruxelles,7,2344,27,-
76,2,bolton-equities-black-spoke-pro-cycling-2022,https://www.procyclingstats.com/team/bolton-equities-black-spoke-pro-cycling-2022,bolton-equities-black-spoke-2023,https://www.procyclingstats.com/team/bolton-equities-black-spoke-pro-cycling-2022,Bolton Equities Black Spoke Pro Cycling,15,710,33,24
77,3,black-spoke-pro-cycling-academy-2021,https://www.procyclingstats.com/team/black-spoke-pro-cycling-academy-2021,bolton-equities-black-spoke-2023,https://www.procyclingstats.com/team/black-spoke-pro-cycling-academy-2021,Black Spoke Pro Cycling Academy,6,210,53,-
78,4,black-spoke-pro-cycling-academy-2020,https://www.procyclingstats.com/team/black-spoke-pro-cycling-academy-2020,bolton-equities-black-spoke-2023,https://www.procyclingstats.com/team/black-spoke-pro-cycling-academy-2020,Black Spoke Pro Cycling Academy,2,103,69,-
79,2,burgos-bh-2022,https://www.procyclingstats.com/team/burgos-bh-2022,burgos-bh-2023,https://www.procyclingstats.com/team/burgos-bh-2022,Burgos-BH,3,712,37,63
80,3,burgos-bh-2021,https://www.procyclingstats.com/team/burgos-bh-2021,burgos-bh-2023,https://www.procyclingstats.com/team/burgos-bh-2021,Burgos-BH,-,866,36,-
81,4,burgos-bh-2020,https://www.procyclingstats.com/team/burgos-bh-2020,burgos-bh-2023,https://www.procyclingstats.com/team/burgos-bh-2020,Burgos-BH,-,389,49,-
82,5,burgos-bh-2019,https://www.procyclingstats.com/team/burgos-bh-2019,burgos-bh-2023,https://www.procyclingstats.com/team/burgos-bh-2019,Burgos-BH,3,776,51,-
83,2,caja-rural-seguros-rga-2022,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2022,caja-rural-seguros-rga-2023,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2022,Caja Rural - Seguros RGA,8,1127,29,31
84,3,caja-rural-seguros-rga-2021,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2021,caja-rural-seguros-rga-2023,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2021,Caja Rural - Seguros RGA,1,1391,28,-
85,4,caja-rural-seguros-rga-2020,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2020,caja-rural-seguros-rga-2023,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2020,Caja Rural - Seguros RGA,4,726,32,-
86,5,caja-rural-seguros-rga-2019,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2019,caja-rural-seguros-rga-2023,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2019,Caja Rural - Seguros RGA,7,1543,34,-
87,2,eolo-kometa-2022,https://www.procyclingstats.com/team/eolo-kometa-2022,eolo-kometa-2023,https://www.procyclingstats.com/team/eolo-kometa-2022,EOLO-Kometa,3,1417,27,30
88,3,eolo-kometa-2021,https://www.procyclingstats.com/team/eolo-kometa-2021,eolo-kometa-2023,https://www.procyclingstats.com/team/eolo-kometa-2021,EOLO-Kometa,5,1051,32,-
89,4,kometa-xstra-cycling-team-2020,https://www.procyclingstats.com/team/kometa-xstra-cycling-team-2020,eolo-kometa-2023,https://www.procyclingstats.com/team/kometa-xstra-cycling-team-2020,Kometa Xstra Cycling Team,1,139,59,-
90,5,kometa-cycling-team-2019,https://www.procyclingstats.com/team/kometa-cycling-team-2019,eolo-kometa-2023,https://www.procyclingstats.com/team/kometa-cycling-team-2019,Kometa Cycling Team,2,291,84,-
91,2,equipo-kern-pharma-2022,https://www.procyclingstats.com/team/equipo-kern-pharma-2022,equipo-kern-pharma-2023,https://www.procyclingstats.com/team/equipo-kern-pharma-2022,Equipo Kern Pharma,2,770,35,48
92,3,equipo-kern-pharma-2021,https://www.procyclingstats.com/team/equipo-kern-pharma-2021,equipo-kern-pharma-2023,https://www.procyclingstats.com/team/equipo-kern-pharma-2021,Equipo Kern Pharma,3,763,34,-
93,4,equipo-kern-pharma-2020,https://www.procyclingstats.com/team/equipo-kern-pharma-2020,equipo-kern-pharma-2023,https://www.procyclingstats.com/team/equipo-kern-pharma-2020,Equipo Kern Pharma,1,293,42,-
