,team_code_history,team_history_url,team_url_2023
4,team-novo-nordisk-2019,https://www.procyclingstats.com/team/team-novo-nordisk-2019,team-novo-nordisk-2023
3,team-totalenergies-2022,https://www.procyclingstats.com/team/team-totalenergies-2022,team-totalenergies-2023
4,team-totalenergies-2021,https://www.procyclingstats.com/team/team-totalenergies-2021,team-totalenergies-2023
6,team-total-direct-energie-2020,https://www.procyclingstats.com/team/team-total-direct-energie-2020,team-totalenergies-2023
7,team-total-direct-energie-2019,https://www.procyclingstats.com/team/team-total-direct-energie-2019,team-totalenergies-2023
8,direct-energie-2019,https://www.procyclingstats.com/team/direct-energie-2019,team-totalenergies-2023
3,tudor-pro-cycling-team-2022,https://www.procyclingstats.com/team/tudor-pro-cycling-team-2022,tudor-pro-cycling-team-2023
4,swiss-racing-academy-2021,https://www.procyclingstats.com/team/swiss-racing-academy-2021,tudor-pro-cycling-team-2023
5,swiss-racing-academy-2020,https://www.procyclingstats.com/team/swiss-racing-academy-2020,tudor-pro-cycling-team-2023
6,swiss-racing-academy-2019,https://www.procyclingstats.com/team/swiss-racing-academy-2019,tudor-pro-cycling-team-2023
5,uno-x-pro-cycling-team-2022,https://www.procyclingstats.com/team/uno-x-pro-cycling-team-2022,uno-x-pro-cycling-team-2023
6,uno-x-pro-cycling-team-2021,https://www.procyclingstats.com/team/uno-x-pro-cycling-team-2021,uno-x-pro-cycling-team-2023
7,uno-x-pro-cycling-team-2020,https://www.procyclingstats.com/team/uno-x-pro-cycling-team-2020,uno-x-pro-cycling-team-2023
9,uno-x-norwegian-development-team-2019,https://www.procyclingstats.com/team/uno-x-norwegian-development-team-2019,uno-x-pro-cycling-team-2023
3,team-qhubeka-nexthash-2021,https://www.procyclingstats.com/team/team-qhubeka-nexthash-2021,q365-pro-cycing-team
4,team-qhubeka-assos-2021,https://www.procyclingstats.com/team/team-qhubeka-assos-2021,q365-pro-cycing-team
5,ntt-pro-cycling-2020,https://www.procyclingstats.com/team/ntt-pro-cycling-2020,q365-pro-cycing-team
6,team-dimension-data-2019,https://www.procyclingstats.com/team/team-dimension-data-2019,q365-pro-cycing-team
