,Rnk,BIB,H2H,Rider,Age,Team,UCI,Pnt,Time,race_code,,Avg
55,55,66,,STORER MichaelTeam Sunweb,21,Team Sunweb,2,5,",,1:13",great-ocean-race/2019,,
56,56,153,,TOOVEY AydenKorda Mentha Real Estate Australia,23,Korda Mentha Real Estate Australia,1,5,",,1:13",great-ocean-race/2019,,
57,57,53,,BOARO ManueleAstana Pro Team,31,Astana Pro Team,1,5,",,1:13",great-ocean-race/2019,,
58,58,112,,MARCZYŃSKI TomaszLotto Soudal,34,Lotto Soudal,1,5,1:291:29,great-ocean-race/2019,,
59,59,156,,FREIBERG MichaelKorda Mentha Real Estate Australia,28,Korda Mentha Real Estate Australia,1,5,",,1:29",great-ocean-race/2019,,
60,60,75,,LEEZER TomTeam Jumbo-Visma,33,Team Jumbo-Visma,1,5,",,1:29",great-ocean-race/2019,,
61,61,105,,PANTANO JarlinsonTrek - Segafredo,30,Trek - Segafredo,,5,",,1:29",great-ocean-race/2019,,
62,62,102,,CLARKE WillTrek - Segafredo,33,Trek - Segafredo,,5,",,1:29",great-ocean-race/2019,,
63,63,15,,KNOX JamesDeceuninck - Quick Step,23,Deceuninck - Quick Step,,5,",,1:29",great-ocean-race/2019,,
64,64,117,,MERTZ RémyLotto Soudal,23,Lotto Soudal,,5,1:571:57,great-ocean-race/2019,,
65,65,32,,DE LA PARTE VíctorCCC Team,32,CCC Team,,5,2:132:13,great-ocean-race/2019,,
66,66,155,,WHITE NicholasKorda Mentha Real Estate Australia,21,Korda Mentha Real Estate Australia,,5,2:462:46,great-ocean-race/2019,,
67,67,87,,PETERS NansAG2R La Mondiale,24,AG2R La Mondiale,,5,",,2:46",great-ocean-race/2019,,
68,68,115,,HANSEN AdamLotto Soudal,37,Lotto Soudal,,5,",,2:46",great-ocean-race/2019,,
69,69,86,,DUPONT HubertAG2R La Mondiale,38,AG2R La Mondiale,,5,",,2:46",great-ocean-race/2019,,
70,70,123,,DOCKER MitchellEF Education First,32,EF Education First,,5,3:223:22,great-ocean-race/2019,,
71,71,107,,STETINA PeterTrek - Segafredo,31,Trek - Segafredo,,5,3:433:43,great-ocean-race/2019,,
72,72,127,,WHELAN JamesEF Education First,22,EF Education First,,5,",,3:43",great-ocean-race/2019,,
73,73,157,,SWEENY HarryKorda Mentha Real Estate Australia,20,Korda Mentha Real Estate Australia,,5,4:194:19,great-ocean-race/2019,,
74,74,47,,STANNARD RobertMitchelton-Scott,20,Mitchelton-Scott,,5,",,4:19",great-ocean-race/2019,,
75,75,43,,DURBRIDGE LukeMitchelton-Scott,27,Mitchelton-Scott,,5,",,4:19",great-ocean-race/2019,,
76,76,57,,GREGAARD JonasAstana Pro Team,22,Astana Pro Team,,5,",,4:19",great-ocean-race/2019,,
77,77,77,,WYNANTS MaartenTeam Jumbo-Visma,36,Team Jumbo-Visma,,5,",,4:19",great-ocean-race/2019,,
78,78,93,,SUTHERLAND RoryUAE Team Emirates,36,UAE Team Emirates,,5,5:405:40,great-ocean-race/2019,,
79,79,131,,DOWSETT AlexTeam Katusha Alpecin,30,Team Katusha Alpecin,,5,",,5:40",great-ocean-race/2019,,
80,80,14,,HONORÉ Mikkel FrølichDeceuninck - Quick Step,22,Deceuninck - Quick Step,,5,",,5:40",great-ocean-race/2019,,
81,81,142,,BAK Lars YttingTeam Dimension Data,39,Team Dimension Data,,5,",,5:40",great-ocean-race/2019,,
82,82,116,,DE GENDT ThomasLotto Soudal,32,Lotto Soudal,,5,",,5:40",great-ocean-race/2019,,
83,83,103,,DE KORT KoenTrek - Segafredo,36,Trek - Segafredo,,5,",,5:40",great-ocean-race/2019,,
84,84,56,,GIDICH YevgeniyAstana Pro Team,22,Astana Pro Team,,5,",,5:40",great-ocean-race/2019,,
85,85,113,,BLYTHE AdamLotto Soudal,29,Lotto Soudal,,5,",,5:40",great-ocean-race/2019,,
86,86,17,,SABATINI FabioDeceuninck - Quick Step,33,Deceuninck - Quick Step,,5,",,5:40",great-ocean-race/2019,,
87,87,67,,WALSCHEID MaxTeam Sunweb,25,Team Sunweb,,5,6:276:27,great-ocean-race/2019,,
88,88,145,,O'CONNOR BenTeam Dimension Data,23,Team Dimension Data,,5,7:077:07,great-ocean-race/2019,,
89,89,54,,DE VREESE LaurensAstana Pro Team,30,Astana Pro Team,,5,8:258:25,great-ocean-race/2019,,
90,90,82,,BAGDONAS GediminasAG2R La Mondiale,33,AG2R La Mondiale,,5,",,8:25",great-ocean-race/2019,,
91,91,33,,MARECZKO JakubCCC Team,24,CCC Team,,5,",,8:25",great-ocean-race/2019,,
92,92,62,,FRÖHLINGER JohannesTeam Sunweb,33,Team Sunweb,,5,",,8:25",great-ocean-race/2019,,
93,93,104,,MULLEN RyanTrek - Segafredo,24,Trek - Segafredo,,5,",,8:25",great-ocean-race/2019,,
94,94,6,,PÖSTLBERGER LukasBORA - hansgrohe,27,BORA - hansgrohe,,5,",,8:25",great-ocean-race/2019,,
95,95,2,,BODNAR MaciejBORA - hansgrohe,33,BORA - hansgrohe,,5,",,8:25",great-ocean-race/2019,,
96,96,3,,GATTO OscarBORA - hansgrohe,34,BORA - hansgrohe,,5,",,8:25",great-ocean-race/2019,,
97,97,137,,STRAKHOV DmitryTeam Katusha Alpecin,23,Team Katusha Alpecin,,5,",,8:25",great-ocean-race/2019,,
98,98,151,,ELLIOTT NathanKorda Mentha Real Estate Australia,28,Korda Mentha Real Estate Australia,,5,",,8:25",great-ocean-race/2019,,
99,99,76,,VAN POPPEL DannyTeam Jumbo-Visma,25,Team Jumbo-Visma,,5,",,8:25",great-ocean-race/2019,,
100,DNF,42,,BEWLEY SamMitchelton-Scott,31,Mitchelton-Scott,,,-,great-ocean-race/2019,,
101,DNF,94,,OLIVEIRA IvoUAE Team Emirates,22,UAE Team Emirates,,,-,great-ocean-race/2019,,
102,DNF,146,,DAVIES ScottTeam Dimension Data,23,Team Dimension Data,,,-,great-ocean-race/2019,,
103,DNF,143,,DLAMINI NicTeam Dimension Data,23,Team Dimension Data,,,-,great-ocean-race/2019,,
104,DNF,74,,LINDEMAN Bert-JanTeam Jumbo-Visma,29,Team Jumbo-Visma,,,-,great-ocean-race/2019,,
105,DNF,73,,HOFSTEDE LennardTeam Jumbo-Visma,24,Team Jumbo-Visma,,,-,great-ocean-race/2019,,
106,DNF,65,,KANTER MaxTeam Sunweb,21,Team Sunweb,,,-,great-ocean-race/2019,,
107,DNF,7,,SCHWARZMANN MichaelBORA - hansgrohe,28,BORA - hansgrohe,,,-,great-ocean-race/2019,,
108,DNF,4,,MÜHLBERGER GregorBORA - hansgrohe,24,BORA - hansgrohe,,,-,great-ocean-race/2019,,
109,DNF,152,,TURNBULL CarterKorda Mentha Real Estate Australia,18,Korda Mentha Real Estate Australia,,,-,great-ocean-race/2019,,
110,DNF,124,,MCLAY DanielEF Education First,27,EF Education First,,,-,great-ocean-race/2019,,
111,,,,,,,,,,omloop-het-nieuwsblad/2019,,
112,1,17,,ŠTYBAR ZdeněkDeceuninck - Quick Step,33,Deceuninck - Quick Step,300,225,4:53:17,omloop-het-nieuwsblad/2019,,
113,2,71,,VAN AVERMAET GregCCC Team,33,CCC Team,250,150,0:090:09,omloop-het-nieuwsblad/2019,,
114,3,27,,WELLENS TimLotto Soudal,27,Lotto Soudal,215,110,",,0:09",omloop-het-nieuwsblad/2019,,
115,4,46,,LUTSENKO AlexeyAstana Pro Team,26,Astana Pro Team,175,90,",,0:09",omloop-het-nieuwsblad/2019,,
116,5,51,,TEUNS DylanBahrain Merida,27,Bahrain Merida,120,80,",,0:09",omloop-het-nieuwsblad/2019,,
117,6,62,,DRUCKER JempyBORA - hansgrohe,32,BORA - hansgrohe,115,70,0:250:25,omloop-het-nieuwsblad/2019,,
118,7,11,,LAMPAERT YvesDeceuninck - Quick Step,27,Deceuninck - Quick Step,95,60,",,0:25",omloop-het-nieuwsblad/2019,,
119,8,13,,GILBERT PhilippeDeceuninck - Quick Step,36,Deceuninck - Quick Step,75,50,",,0:25",omloop-het-nieuwsblad/2019,,
120,9,101,,TRENTIN MatteoMitchelton-Scott,29,Mitchelton-Scott,60,46,",,0:25",omloop-het-nieuwsblad/2019,,
121,10,31,,NAESEN OliverAG2R La Mondiale,28,AG2R La Mondiale,50,42,",,0:25",omloop-het-nieuwsblad/2019,,
122,11,24,,KEUKELEIRE JensLotto Soudal,30,Lotto Soudal,40,38,",,0:25",omloop-het-nieuwsblad/2019,,
123,12,155,,MATTHEWS MichaelTeam Sunweb,28,Team Sunweb,35,34,",,0:25",omloop-het-nieuwsblad/2019,,
124,13,121,,VAN AERT WoutTeam Jumbo-Visma,24,Team Jumbo-Visma,30,30,",,0:25",omloop-het-nieuwsblad/2019,,
125,14,147,,VAN BAARLE DylanTeam Sky,26,Team Sky,25,26,",,0:25",omloop-het-nieuwsblad/2019,,
126,15,84,,LANGEVELD SebastianEF Education First,34,EF Education First,20,22,",,0:25",omloop-het-nieuwsblad/2019,,
127,16,15,,JUNGELS BobDeceuninck - Quick Step,26,Deceuninck - Quick Step,20,20,",,0:25",omloop-het-nieuwsblad/2019,,
128,17,43,,DE VREESE LaurensAstana Pro Team,30,Astana Pro Team,20,18,",,0:25",omloop-het-nieuwsblad/2019,,
129,18,95,,KÜNG StefanGroupama - FDJ,25,Groupama - FDJ,20,17,",,0:25",omloop-het-nieuwsblad/2019,,
130,19,135,,POLITT NilsTeam Katusha Alpecin,24,Team Katusha Alpecin,20,16,0:280:28,omloop-het-nieuwsblad/2019,,
131,20,201,,TERPSTRA NikiDirect Energie,34,Direct Energie,20,15,0:290:29,omloop-het-nieuwsblad/2019,,
132,21,63,,OSS DanielBORA - hansgrohe,32,BORA - hansgrohe,12,14,0:300:30,omloop-het-nieuwsblad/2019,,
133,22,34,,DILLIER SilvanAG2R La Mondiale,28,AG2R La Mondiale,12,13,0:320:32,omloop-het-nieuwsblad/2019,,
134,23,102,,DURBRIDGE LukeMitchelton-Scott,27,Mitchelton-Scott,12,12,0:440:44,omloop-het-nieuwsblad/2019,,
135,24,236,,PLANCKAERT BaptisteWallonie-Bruxelles,30,Wallonie-Bruxelles,12,11,1:521:52,omloop-het-nieuwsblad/2019,,
136,25,111,,ROELANDTS JürgenMovistar Team,33,Movistar Team,12,10,",,1:52",omloop-het-nieuwsblad/2019,,
137,26,141,,STANNARD IanTeam Sky,31,Team Sky,12,9,",,1:52",omloop-het-nieuwsblad/2019,,
138,27,191,,DEVOLDER StijnCorendon - Circus,39,Corendon - Circus,12,8,",,1:52",omloop-het-nieuwsblad/2019,,
139,28,142,,DOULL OwainTeam Sky,25,Team Sky,12,7,2:512:51,omloop-het-nieuwsblad/2019,,
140,29,45,,HOULE HugoAstana Pro Team,28,Astana Pro Team,12,6,",,2:51",omloop-het-nieuwsblad/2019,,
141,30,125,,VAN POPPEL DannyTeam Jumbo-Visma,25,Team Jumbo-Visma,12,5,",,2:51",omloop-het-nieuwsblad/2019,,
142,31,181,,"LAPORTE ChristopheCofidis, Solutions Crédits",26,"Cofidis, Solutions Crédits",5,5,4:164:16,omloop-het-nieuwsblad/2019,,
143,32,223,,DECLERCQ BenjaminSport Vlaanderen - Baloise,25,Sport Vlaanderen - Baloise,5,5,4:424:42,omloop-het-nieuwsblad/2019,,
144,33,123,,TEUNISSEN MikeTeam Jumbo-Visma,26,Team Jumbo-Visma,5,5,",,4:42",omloop-het-nieuwsblad/2019,,
145,34,105,,JUUL-JENSEN ChristopherMitchelton-Scott,29,Mitchelton-Scott,5,5,4:444:44,omloop-het-nieuwsblad/2019,,
146,35,54,,GARCÍA CORTINA IvánBahrain Merida,23,Bahrain Merida,5,5,5:545:54,omloop-het-nieuwsblad/2019,,
147,36,224,,PLANCKAERT EdwardSport Vlaanderen - Baloise,24,Sport Vlaanderen - Baloise,5,5,",,5:54",omloop-het-nieuwsblad/2019,,
148,37,171,,PHILIPSEN JasperUAE Team Emirates,21,UAE Team Emirates,5,5,",,5:54",omloop-het-nieuwsblad/2019,,
149,38,53,,COLBRELLI SonnyBahrain Merida,28,Bahrain Merida,5,5,",,5:54",omloop-het-nieuwsblad/2019,,
150,39,96,,LE GAC OlivierGroupama - FDJ,25,Groupama - FDJ,5,5,",,5:54",omloop-het-nieuwsblad/2019,,
151,40,161,,STUYVEN JasperTrek - Segafredo,26,Trek - Segafredo,5,5,",,5:54",omloop-het-nieuwsblad/2019,,
152,41,182,,"CLAEYS DimitriCofidis, Solutions Crédits",31,"Cofidis, Solutions Crédits",5,5,",,5:54",omloop-het-nieuwsblad/2019,,
153,42,22,,DE BUYST JasperLotto Soudal,25,Lotto Soudal,5,5,6:176:17,omloop-het-nieuwsblad/2019,,
154,43,192,,DE BONDT DriesCorendon - Circus,27,Corendon - Circus,5,5,",,6:17",omloop-het-nieuwsblad/2019,,
155,44,222,,CAPIOT AmaurySport Vlaanderen - Baloise,25,Sport Vlaanderen - Baloise,5,5,",,6:17",omloop-het-nieuwsblad/2019,,
156,45,1,,VALGREN MichaelTeam Dimension Data,27,Team Dimension Data,5,5,",,6:17",omloop-het-nieuwsblad/2019,,
157,46,216,,VAN POPPEL BoyRoompot - Charles,31,Roompot - Charles,5,5,",,6:17",omloop-het-nieuwsblad/2019,,
158,47,243,,DEVRIENDT TomWanty - Gobert Cycling Team,27,Wanty - Gobert Cycling Team,5,5,",,6:17",omloop-het-nieuwsblad/2019,,
159,48,244,,MEURISSE XandroWanty - Gobert Cycling Team,27,Wanty - Gobert Cycling Team,5,5,",,6:17",omloop-het-nieuwsblad/2019,,
160,49,203,,LIGTHART PimDirect Energie,30,Direct Energie,5,5,",,6:17",omloop-het-nieuwsblad/2019,,
161,50,185,,"VAN LERBERGHE BertCofidis, Solutions Crédits",26,"Cofidis, Solutions Crédits",5,5,",,6:17",omloop-het-nieuwsblad/2019,,
162,51,164,,MULLEN RyanTrek - Segafredo,24,Trek - Segafredo,2,5,",,6:17",omloop-het-nieuwsblad/2019,,
163,52,3,,BOASSON HAGEN EdvaldTeam Dimension Data,31,Team Dimension Data,2,5,",,6:17",omloop-het-nieuwsblad/2019,,
164,53,162,,THEUNS EdwardTrek - Segafredo,27,Trek - Segafredo,2,5,",,6:17",omloop-het-nieuwsblad/2019,,
165,54,97,,SINKELDAM RamonGroupama - FDJ,30,Groupama - FDJ,2,5,",,6:17",omloop-het-nieuwsblad/2019,,
166,55,75,,VAN KEIRSBULCK GuillaumeCCC Team,28,CCC Team,2,5,",,6:17",omloop-het-nieuwsblad/2019,,
167,56,242,,DE GENDT AiméWanty - Gobert Cycling Team,24,Wanty - Gobert Cycling Team,1,5,",,6:17",omloop-het-nieuwsblad/2019,,
168,57,94,,KONOVALOVAS IgnatasGroupama - FDJ,33,Groupama - FDJ,1,5,",,6:17",omloop-het-nieuwsblad/2019,,
169,58,83,,HOWES AlexEF Education First,31,EF Education First,1,5,",,6:17",omloop-het-nieuwsblad/2019,,
170,59,156,,PEDERSEN CasperTeam Sunweb,22,Team Sunweb,1,5,",,6:17",omloop-het-nieuwsblad/2019,,
171,60,37,,VANDENBERGH StijnAG2R La Mondiale,34,AG2R La Mondiale,1,5,",,6:17",omloop-het-nieuwsblad/2019,,
172,61,225,,SPRENGERS ThomasSport Vlaanderen - Baloise,29,Sport Vlaanderen - Baloise,,5,",,6:17",omloop-het-nieuwsblad/2019,,
173,62,85,,PHINNEY TaylorEF Education First,28,EF Education First,,5,",,6:17",omloop-het-nieuwsblad/2019,,
174,63,177,,BOHLI TomUAE Team Emirates,25,UAE Team Emirates,,5,",,6:17",omloop-het-nieuwsblad/2019,,
175,64,133,,HOLLENSTEIN RetoTeam Katusha Alpecin,33,Team Katusha Alpecin,,5,",,6:17",omloop-het-nieuwsblad/2019,,
176,65,207,,TURGIS AnthonyDirect Energie,24,Direct Energie,,5,",,6:17",omloop-het-nieuwsblad/2019,,
177,66,247,,VLIEGEN LoïcWanty - Gobert Cycling Team,25,Wanty - Gobert Cycling Team,,5,",,6:17",omloop-het-nieuwsblad/2019,,
178,67,232,,ISTA KevynWallonie-Bruxelles,34,Wallonie-Bruxelles,,5,",,6:17",omloop-het-nieuwsblad/2019,,
179,68,157,,VERVAEKE LouisTeam Sunweb,25,Team Sunweb,,5,",,6:17",omloop-het-nieuwsblad/2019,,
180,69,112,,BARBERO CarlosMovistar Team,27,Movistar Team,,5,",,6:17",omloop-het-nieuwsblad/2019,,
181,70,204,,PETIT AdrienDirect Energie,28,Direct Energie,,5,",,6:17",omloop-het-nieuwsblad/2019,,
182,71,76,,WIŚNIOWSKI ŁukaszCCC Team,27,CCC Team,,5,",,6:17",omloop-het-nieuwsblad/2019,,
183,72,131,,DEBUSSCHERE JensTeam Katusha Alpecin,29,Team Katusha Alpecin,,5,",,6:17",omloop-het-nieuwsblad/2019,,
184,73,143,,KNEES ChristianTeam Sky,37,Team Sky,,5,",,6:17",omloop-het-nieuwsblad/2019,,
185,74,184,,"TOUZÉ DamienCofidis, Solutions Crédits",22,"Cofidis, Solutions Crédits",,5,",,6:17",omloop-het-nieuwsblad/2019,,
186,75,115,,ARCAS JorgeMovistar Team,26,Movistar Team,,5,",,6:17",omloop-het-nieuwsblad/2019,,
187,76,194,,JANSSENS JimmyCorendon - Circus,29,Corendon - Circus,,5,6:236:23,omloop-het-nieuwsblad/2019,,
188,77,217,,VAN GINNEKEN SjoerdRoompot - Charles,26,Roompot - Charles,,5,",,6:23",omloop-het-nieuwsblad/2019,,
189,78,106,,SMITH DionMitchelton-Scott,25,Mitchelton-Scott,,5,",,6:23",omloop-het-nieuwsblad/2019,,
190,79,122,,ROOSEN TimoTeam Jumbo-Visma,26,Team Jumbo-Visma,,5,",,6:23",omloop-het-nieuwsblad/2019,,
191,80,211,,BOOM LarsRoompot - Charles,33,Roompot - Charles,,5,",,6:23",omloop-het-nieuwsblad/2019,,
192,81,92,,DUCHESNE AntoineGroupama - FDJ,27,Groupama - FDJ,,5,",,6:23",omloop-het-nieuwsblad/2019,,
193,82,64,,PÖSTLBERGER LukasBORA - hansgrohe,27,BORA - hansgrohe,,5,",,6:23",omloop-het-nieuwsblad/2019,,
194,83,113,,BETANCUR CarlosMovistar Team,29,Movistar Team,,5,",,6:23",omloop-het-nieuwsblad/2019,,
195,84,72,,VAN HOECKE GijsCCC Team,27,CCC Team,,5,",,6:23",omloop-het-nieuwsblad/2019,,
196,85,55,,KOREN KristijanBahrain Merida,32,Bahrain Merida,,5,",,6:23",omloop-het-nieuwsblad/2019,,
197,86,124,,VAN DER HOORN TacoTeam Jumbo-Visma,25,Team Jumbo-Visma,,5,",,6:23",omloop-het-nieuwsblad/2019,,
198,87,103,,EDMONDSON AlexMitchelton-Scott,25,Mitchelton-Scott,,5,6:276:27,omloop-het-nieuwsblad/2019,,
199,88,56,,PIBERNIK LukaBahrain Merida,25,Bahrain Merida,,5,",,6:27",omloop-het-nieuwsblad/2019,,
200,89,127,,WYNANTS MaartenTeam Jumbo-Visma,36,Team Jumbo-Visma,,5,",,6:27",omloop-het-nieuwsblad/2019,,
201,90,47,,CORT MagnusAstana Pro Team,26,Astana Pro Team,,5,",,6:27",omloop-het-nieuwsblad/2019,,
202,91,86,,SCULLY TomEF Education First,29,EF Education First,,5,",,6:27",omloop-het-nieuwsblad/2019,,
203,92,81,,VANMARCKE SepEF Education First,30,EF Education First,,5,",,6:27",omloop-het-nieuwsblad/2019,,
204,93,202,,GAUDIN DamienDirect Energie,32,Direct Energie,,5,",,6:27",omloop-het-nieuwsblad/2019,,
205,94,35,,DUVAL JulienAG2R La Mondiale,28,AG2R La Mondiale,,5,8:368:36,omloop-het-nieuwsblad/2019,,
206,95,33,,DENZ NicoAG2R La Mondiale,25,AG2R La Mondiale,,5,",,8:36",omloop-het-nieuwsblad/2019,,
207,96,241,,BACKAERT FrederikWanty - Gobert Cycling Team,28,Wanty - Gobert Cycling Team,,5,",,8:36",omloop-het-nieuwsblad/2019,,
208,97,32,,GODON DorianAG2R La Mondiale,22,AG2R La Mondiale,,5,",,8:36",omloop-het-nieuwsblad/2019,,
209,98,52,,BOLE GregaBahrain Merida,33,Bahrain Merida,,5,",,8:36",omloop-het-nieuwsblad/2019,,
210,99,231,,DEHAES KennyWallonie-Bruxelles,34,Wallonie-Bruxelles,,5,",,8:36",omloop-het-nieuwsblad/2019,,
211,100,234,,LIEPIŅŠ EmīlsWallonie-Bruxelles,26,Wallonie-Bruxelles,,5,",,8:36",omloop-het-nieuwsblad/2019,,
212,101,237,,SPENGLER LukasWallonie-Bruxelles,24,Wallonie-Bruxelles,,5,",,8:36",omloop-het-nieuwsblad/2019,,
213,102,226,,VAN HECKE PrebenSport Vlaanderen - Baloise,36,Sport Vlaanderen - Baloise,,5,",,8:36",omloop-het-nieuwsblad/2019,,
214,103,12,,DECLERCQ TimDeceuninck - Quick Step,29,Deceuninck - Quick Step,,5,",,8:36",omloop-het-nieuwsblad/2019,,
215,104,87,,BRESCHEL MattiEF Education First,34,EF Education First,,5,",,8:36",omloop-het-nieuwsblad/2019,,
216,105,165,,PEDERSEN MadsTrek - Segafredo,23,Trek - Segafredo,,5,",,8:36",omloop-het-nieuwsblad/2019,,
