,Rnk,BIB,H2H,Rider,Age,Team,UCI,Pnt,Time,race_code
724,14,92,,GRONDIN DonavanTeam Arkéa Samsic,22,Team Arkéa Samsic,5,7,",,0:00",trofeo-alcudia/2023
725,15,207,,ESTELRICH MateuElectro Hiper Europa,21,Electro Hiper Europa,5,6,",,0:00",trofeo-alcudia/2023
726,16,183,,RUIZ IbonEquipo Kern Pharma,23,Equipo Kern Pharma,3,5,",,0:00",trofeo-alcudia/2023
727,17,181,,LÓPEZ JordiEquipo Kern Pharma,24,Equipo Kern Pharma,3,4,",,0:00",trofeo-alcudia/2023
728,18,20,,GARCÍA CORTINA IvánMovistar Team,27,Movistar Team,3,3,",,0:00",trofeo-alcudia/2023
729,19,85,,GUGLIELMI SimonTeam Arkéa Samsic,25,Team Arkéa Samsic,3,2,",,0:00",trofeo-alcudia/2023
730,20,4,,BALLERINI DavideSoudal - Quick Step,28,Soudal - Quick Step,3,1,",,0:00",trofeo-alcudia/2023
731,21,41,,POLITT NilsBORA - hansgrohe,28,BORA - hansgrohe,3,,",,0:00",trofeo-alcudia/2023
732,22,197,,BASSETT StephenHuman Powered Health,27,Human Powered Health,3,,",,0:00",trofeo-alcudia/2023
733,23,95,,EENKHOORN PascalLotto Dstny,25,Lotto Dstny,3,,",,0:00",trofeo-alcudia/2023
734,24,128,,RIVI SamueleEOLO-Kometa,24,EOLO-Kometa,3,,",,0:00",trofeo-alcudia/2023
735,25,103,,SWEENY HarryLotto Dstny,24,Lotto Dstny,3,,",,0:00",trofeo-alcudia/2023
736,26,48,,MARTIN GuillaumeCofidis,29,Cofidis,,,",,0:00",trofeo-alcudia/2023
737,27,131,,BAIS MattiaEOLO-Kometa,26,EOLO-Kometa,,,",,0:00",trofeo-alcudia/2023
738,28,5,,CAVAGNA RémiSoudal - Quick Step,27,Soudal - Quick Step,,,",,0:00",trofeo-alcudia/2023
739,29,167,,BOU JoanEuskaltel - Euskadi,26,Euskaltel - Euskadi,,,",,0:00",trofeo-alcudia/2023
740,30,43,,ZWIEHOFF BenBORA - hansgrohe,28,BORA - hansgrohe,,,",,0:00",trofeo-alcudia/2023
741,31,80,,VLIEGEN LoïcIntermarché - Circus - Wanty,29,Intermarché - Circus - Wanty,,,",,0:00",trofeo-alcudia/2023
742,32,143,,DÍAZ José ManuelBurgos-BH,28,Burgos-BH,,,",,0:00",trofeo-alcudia/2023
743,33,67,,CARTHY HughEF Education-EasyPost,28,EF Education-EasyPost,,,",,0:00",trofeo-alcudia/2023
744,34,158,,TONELLI AlessandroGreen Project-Bardiani CSF-Faizanè,30,Green Project-Bardiani CSF-Faizanè,,,",,0:00",trofeo-alcudia/2023
745,35,58,,DOULL OwainEF Education-EasyPost,29,EF Education-EasyPost,,,",,0:00",trofeo-alcudia/2023
746,36,166,,MATÉ Luis ÁngelEuskaltel - Euskadi,38,Euskaltel - Euskadi,,,",,0:00",trofeo-alcudia/2023
747,37,10,,SÉNÉCHAL FlorianSoudal - Quick Step,29,Soudal - Quick Step,,,0:100:10,trofeo-alcudia/2023
748,38,47,,WANDAHL FrederikBORA - hansgrohe,21,BORA - hansgrohe,,,",,0:10",trofeo-alcudia/2023
749,39,31,,ULISSI DiegoUAE Team Emirates,33,UAE Team Emirates,,,",,0:10",trofeo-alcudia/2023
750,40,238,,COSTA RuiIntermarché - Circus - Wanty,36,Intermarché - Circus - Wanty,,,",,0:10",trofeo-alcudia/2023
751,41,62,,VAN DEN BERG JuliusEF Education-EasyPost,26,EF Education-EasyPost,,,0:300:30,trofeo-alcudia/2023
752,42,60,,POWLESS NeilsonEF Education-EasyPost,26,EF Education-EasyPost,,,",,0:30",trofeo-alcudia/2023
753,43,179,,COBO IvánEquipo Kern Pharma,23,Equipo Kern Pharma,,,",,0:30",trofeo-alcudia/2023
754,44,7,,DECLERCQ TimSoudal - Quick Step,33,Soudal - Quick Step,,,0:410:41,trofeo-alcudia/2023
755,45,3,,BAGIOLI AndreaSoudal - Quick Step,23,Soudal - Quick Step,,,0:440:44,trofeo-alcudia/2023
756,46,26,,RODRÍGUEZ ÓscarMovistar Team,27,Movistar Team,,,1:081:08,trofeo-alcudia/2023
757,47,23,,MÜHLBERGER GregorMovistar Team,28,Movistar Team,,,1:441:44,trofeo-alcudia/2023
758,48,19,,BARTA WillMovistar Team,27,Movistar Team,,,",,1:44",trofeo-alcudia/2023
759,49,98,,MENTEN MilanLotto Dstny,26,Lotto Dstny,,,2:332:33,trofeo-alcudia/2023
760,50,211,,GARCIA Jose MariaElectro Hiper Europa,24,Electro Hiper Europa,,,3:223:22,trofeo-alcudia/2023
761,51,109,,VAN ASBROECK TomIsrael - Premier Tech,32,Israel - Premier Tech,,,",,3:22",trofeo-alcudia/2023
762,52,118,,BARRENETXEA JonCaja Rural - Seguros RGA,22,Caja Rural - Seguros RGA,,,",,3:22",trofeo-alcudia/2023
763,53,191,,DE PESTEL SanderTeam Flanders - Baloise,24,Team Flanders - Baloise,,,",,3:22",trofeo-alcudia/2023
764,54,193,,VAN HEMELEN VincentTeam Flanders - Baloise,22,Team Flanders - Baloise,,,",,3:22",trofeo-alcudia/2023
765,55,189,,CLYNHENS ToonTeam Flanders - Baloise,21,Team Flanders - Baloise,,,",,3:22",trofeo-alcudia/2023
766,56,106,,HOLLENSTEIN RetoIsrael - Premier Tech,37,Israel - Premier Tech,,,",,3:22",trofeo-alcudia/2023
767,57,209,,CAÑELLAS XavierElectro Hiper Europa,25,Electro Hiper Europa,,,",,3:22",trofeo-alcudia/2023
768,58,24,,NORSGAARD MathiasMovistar Team,25,Movistar Team,,,",,3:22",trofeo-alcudia/2023
769,59,124,,PIRA Yesid AlbeiroCaja Rural - Seguros RGA,23,Caja Rural - Seguros RGA,,,",,3:22",trofeo-alcudia/2023
770,60,110,,MACKELLAR AlastairIsrael - Premier Tech,21,Israel - Premier Tech,,,",,3:22",trofeo-alcudia/2023
771,61,182,,RETEGI MikelEquipo Kern Pharma,21,Equipo Kern Pharma,,,",,3:22",trofeo-alcudia/2023
772,62,21,,HOLLMANN JuriMovistar Team,23,Movistar Team,,,",,3:22",trofeo-alcudia/2023
773,63,72,,CALMEJANE LilianIntermarché - Circus - Wanty,30,Intermarché - Circus - Wanty,,,",,3:22",trofeo-alcudia/2023
774,64,116,,AULAR OrluisCaja Rural - Seguros RGA,26,Caja Rural - Seguros RGA,,,",,3:22",trofeo-alcudia/2023
775,65,32,,BJERG MikkelUAE Team Emirates,24,UAE Team Emirates,,,",,3:22",trofeo-alcudia/2023
776,66,121,,HAILEMICHAEL Mulu KinfeCaja Rural - Seguros RGA,23,Caja Rural - Seguros RGA,,,",,3:22",trofeo-alcudia/2023
777,67,90,,PONOMAR AndriiTeam Arkéa Samsic,20,Team Arkéa Samsic,,,",,3:22",trofeo-alcudia/2023
778,68,219,,STITES TylerProject Echelon Racing,24,Project Echelon Racing,,,",,3:22",trofeo-alcudia/2023
779,69,126,,GAVAZZI FrancescoEOLO-Kometa,38,EOLO-Kometa,,,",,3:22",trofeo-alcudia/2023
780,70,28,,WELLENS TimUAE Team Emirates,31,UAE Team Emirates,,,",,3:22",trofeo-alcudia/2023
781,71,53,,TOUMIRE HugoCofidis,21,Cofidis,,,",,3:22",trofeo-alcudia/2023
782,72,151,,GABBURO DavideGreen Project-Bardiani CSF-Faizanè,29,Green Project-Bardiani CSF-Faizanè,,,",,3:22",trofeo-alcudia/2023
783,73,133,,GAROSIO AndreaEOLO-Kometa,29,EOLO-Kometa,,,",,3:22",trofeo-alcudia/2023
784,74,172,,CUADRADO UnaiEuskaltel - Euskadi,25,Euskaltel - Euskadi,,,",,3:22",trofeo-alcudia/2023
785,75,170,,ISASA XabierEuskaltel - Euskadi,21,Euskaltel - Euskadi,,,",,3:22",trofeo-alcudia/2023
786,76,97,,LIVYNS ArjenLotto Dstny,28,Lotto Dstny,,,",,3:22",trofeo-alcudia/2023
787,77,115,,AMEZQUETA JulenCaja Rural - Seguros RGA,29,Caja Rural - Seguros RGA,,,",,3:22",trofeo-alcudia/2023
788,78,178,,GARCÍA PIERNA CarlosEquipo Kern Pharma,23,Equipo Kern Pharma,,,",,3:22",trofeo-alcudia/2023
789,79,156,,SCOTT JaredGreen Project-Bardiani CSF-Faizanè,20,Green Project-Bardiani CSF-Faizanè,,,",,3:22",trofeo-alcudia/2023
790,80,152,,LUCCA RiccardoGreen Project-Bardiani CSF-Faizanè,25,Green Project-Bardiani CSF-Faizanè,,,",,3:22",trofeo-alcudia/2023
791,81,34,,NOVAK DomenUAE Team Emirates,27,UAE Team Emirates,,,",,3:22",trofeo-alcudia/2023
792,82,33,,MOLANO Juan SebastiánUAE Team Emirates,28,UAE Team Emirates,,,",,3:22",trofeo-alcudia/2023
793,83,83,,DEKKER DavidTeam Arkéa Samsic,24,Team Arkéa Samsic,,,",,3:22",trofeo-alcudia/2023
794,84,56,,CARR SimonEF Education-EasyPost,24,EF Education-EasyPost,,,",,3:22",trofeo-alcudia/2023
795,85,44,,DENZ NicoBORA - hansgrohe,28,BORA - hansgrohe,,,",,3:22",trofeo-alcudia/2023
796,86,88,,EDET NicolasTeam Arkéa Samsic,35,Team Arkéa Samsic,,,",,3:22",trofeo-alcudia/2023
797,87,86,,MCLAY DanielTeam Arkéa Samsic,31,Team Arkéa Samsic,,,",,3:22",trofeo-alcudia/2023
798,88,50,,GESCHKE SimonCofidis,36,Cofidis,,,",,3:22",trofeo-alcudia/2023
799,89,51,,HERRADA JoséCofidis,37,Cofidis,,,",,3:22",trofeo-alcudia/2023
800,90,49,,HERRADA JesúsCofidis,32,Cofidis,,,",,3:22",trofeo-alcudia/2023
801,91,147,,EZQUERRA JesúsBurgos-BH,32,Burgos-BH,,,6:106:10,trofeo-alcudia/2023
802,92,105,,VAN DE PAAR JarneLotto Dstny,22,Lotto Dstny,,,",,6:10",trofeo-alcudia/2023
803,93,87,,BOUHANNI NacerTeam Arkéa Samsic,32,Team Arkéa Samsic,,,7:327:32,trofeo-alcudia/2023
804,94,203,,PEÁK BarnabásHuman Powered Health,24,Human Powered Health,,,",,7:32",trofeo-alcudia/2023
805,95,145,,FUENTES ÁngelBurgos-BH,26,Burgos-BH,,,",,7:32",trofeo-alcudia/2023
806,96,202,,JOYCE ColinHuman Powered Health,28,Human Powered Health,,,",,7:32",trofeo-alcudia/2023
807,97,201,,JENSEN AugustHuman Powered Health,31,Human Powered Health,,,",,7:32",trofeo-alcudia/2023
808,98,204,,PERRY BenjaminHuman Powered Health,28,Human Powered Health,,,",,7:32",trofeo-alcudia/2023
809,99,231,,ROMERO JaimeSpain,20,Spain,,,",,7:32",trofeo-alcudia/2023
810,100,6,,ČERNÝ JosefSoudal - Quick Step,29,Soudal - Quick Step,,,",,7:32",trofeo-alcudia/2023
811,101,225,,LANGE ColbyProject Echelon Racing,23,Project Echelon Racing,,,",,7:32",trofeo-alcudia/2023
812,102,111,,PICKRELL RileyIsrael - Premier Tech,21,Israel - Premier Tech,,,",,7:32",trofeo-alcudia/2023
813,103,195,,ANIOŁKOWSKI StanisławHuman Powered Health,26,Human Powered Health,,,",,7:32",trofeo-alcudia/2023
814,104,227,,MORA SebastiánSpain,34,Spain,,,",,7:32",trofeo-alcudia/2023
815,105,130,,FANCELLU AlessandroEOLO-Kometa,22,EOLO-Kometa,,,",,7:32",trofeo-alcudia/2023
816,106,127,,MAESTRI MircoEOLO-Kometa,31,EOLO-Kometa,,,",,7:32",trofeo-alcudia/2023
817,107,216,,VOLLMER AndrewElectro Hiper Europa,22,Electro Hiper Europa,,,",,7:32",trofeo-alcudia/2023
818,108,194,,VANHOOF WardTeam Flanders - Baloise,23,Team Flanders - Baloise,,,",,7:32",trofeo-alcudia/2023
819,109,59,,PADUN MarkEF Education-EasyPost,26,EF Education-EasyPost,,,",,7:32",trofeo-alcudia/2023
820,110,54,,WALLAYS JelleCofidis,33,Cofidis,,,",,7:32",trofeo-alcudia/2023
821,111,129,,MARTIN DavidEOLO-Kometa,23,EOLO-Kometa,,,10:0510:05,trofeo-alcudia/2023
822,112,229,,BENNASSAR FrancescSpain,20,Spain,,,",,10:05",trofeo-alcudia/2023
823,113,208,,BENNASSAR JoanElectro Hiper Europa,23,Electro Hiper Europa,,,",,10:05",trofeo-alcudia/2023
824,114,190,,COLMAN AlexTeam Flanders - Baloise,24,Team Flanders - Baloise,,,",,10:05",trofeo-alcudia/2023
825,115,113,,EINHORN ItamarIsrael - Premier Tech,25,Israel - Premier Tech,,,",,10:05",trofeo-alcudia/2023
826,116,192,,GERITS VinceTeam Flanders - Baloise,25,Team Flanders - Baloise,,,",,10:05",trofeo-alcudia/2023
827,117,123,,MURGUIALDAY JokinCaja Rural - Seguros RGA,22,Caja Rural - Seguros RGA,,,",,10:05",trofeo-alcudia/2023
828,118,180,,ELOSEGUI IñigoEquipo Kern Pharma,24,Equipo Kern Pharma,,,",,10:05",trofeo-alcudia/2023
829,119,175,,AGIRRE JonEquipo Kern Pharma,25,Equipo Kern Pharma,,,",,10:05",trofeo-alcudia/2023
830,120,165,,BALLARIN IkerEuskaltel - Euskadi,25,Euskaltel - Euskadi,,,",,10:05",trofeo-alcudia/2023
831,121,226,,ZIMMER MattProject Echelon Racing,29,Project Echelon Racing,,,",,10:05",trofeo-alcudia/2023
832,122,108,,SAGIV GuyIsrael - Premier Tech,28,Israel - Premier Tech,,,",,10:05",trofeo-alcudia/2023
833,123,222,,ARNOPOL RichardProject Echelon Racing,30,Project Echelon Racing,,,",,10:05",trofeo-alcudia/2023
834,124,96,,GUARNIERI JacopoLotto Dstny,35,Lotto Dstny,,,",,10:05",trofeo-alcudia/2023
835,125,112,,WEINBERG RoiIsrael - Premier Tech,22,Israel - Premier Tech,,,",,10:05",trofeo-alcudia/2023
836,126,46,,WALLS MatthewBORA - hansgrohe,24,BORA - hansgrohe,,,",,10:05",trofeo-alcudia/2023
837,127,218,,SCALA JR HugoProject Echelon Racing,25,Project Echelon Racing,,,",,10:05",trofeo-alcudia/2023
838,128,100,,SCHWARZMANN MichaelLotto Dstny,32,Lotto Dstny,,,",,10:05",trofeo-alcudia/2023
839,129,137,,ARDILA Andrés CamiloBurgos-BH,23,Burgos-BH,,,",,10:05",trofeo-alcudia/2023
840,130,142,,OKAMIKA AnderBurgos-BH,29,Burgos-BH,,,",,10:05",trofeo-alcudia/2023
841,131,78,,PLANCKAERT BaptisteIntermarché - Circus - Wanty,34,Intermarché - Circus - Wanty,,,",,10:05",trofeo-alcudia/2023
842,132,196,,BANASZEK AlanHuman Powered Health,25,Human Powered Health,,,",,10:05",trofeo-alcudia/2023
843,DNF,221,,VOGEL StephenProject Echelon Racing,33,Project Echelon Racing,,,-,trofeo-alcudia/2023
844,DNF,77,,PETIT AdrienIntermarché - Circus - Wanty,32,Intermarché - Circus - Wanty,,,-,trofeo-alcudia/2023
845,DNF,213,,MARTÍN José MaríaElectro Hiper Europa,21,Electro Hiper Europa,,,-,trofeo-alcudia/2023
846,DNF,153,,MARCELLUSI MartinGreen Project-Bardiani CSF-Faizanè,22,Green Project-Bardiani CSF-Faizanè,,,-,trofeo-alcudia/2023
847,DNF,232,,GARAIAR BeñatSpain,18,Spain,,,-,trofeo-alcudia/2023
848,DNF,144,,FRANCO AlejandroBurgos-BH,21,Burgos-BH,,,-,trofeo-alcudia/2023
849,DNF,228,,MARTORELL ErikSpain,24,Spain,,,-,trofeo-alcudia/2023
850,DNF,117,,BABOR DanielCaja Rural - Seguros RGA,23,Caja Rural - Seguros RGA,,,-,trofeo-alcudia/2023
851,DNF,220,,CRAINE EthanProject Echelon Racing,21,Project Echelon Racing,,,-,trofeo-alcudia/2023
852,DNF,30,,TRENTIN MatteoUAE Team Emirates,33,UAE Team Emirates,,,-,trofeo-alcudia/2023
853,DNF,186,,APERS RubenTeam Flanders - Baloise,24,Team Flanders - Baloise,,,-,trofeo-alcudia/2023
854,DNF,235,,ANGUELA MarioSpain,18,Spain,,,-,trofeo-alcudia/2023
855,DNF,148,,COLNAGHI LucaGreen Project-Bardiani CSF-Faizanè,24,Green Project-Bardiani CSF-Faizanè,,,-,trofeo-alcudia/2023
856,DNF,230,,TERRASA MarcSpain,19,Spain,,,-,trofeo-alcudia/2023
857,DNF,140,,PEÑALVER ManuelBurgos-BH,24,Burgos-BH,,,-,trofeo-alcudia/2023
858,,,,,,,,,,trofeo-andratx-mirador-d-es-colomer/2023
859,1,73,,GOOSSENS KobeIntermarché - Circus - Wanty,26,Intermarché - Circus - Wanty,125,75,4:07:00,trofeo-andratx-mirador-d-es-colomer/2023
860,2,141,,SÁNCHEZ PelayoBurgos-BH,22,Burgos-BH,85,55,0:390:39,trofeo-andratx-mirador-d-es-colomer/2023
861,3,104,,VAN EETVELT LennertLotto Dstny,21,Lotto Dstny,70,40,0:400:40,trofeo-andratx-mirador-d-es-colomer/2023
862,4,154,,MARTINELLI AlessioGreen Project-Bardiani CSF-Faizanè,21,Green Project-Bardiani CSF-Faizanè,60,32,",,0:40",trofeo-andratx-mirador-d-es-colomer/2023
863,5,174,,ADRIÀ RogerEquipo Kern Pharma,24,Equipo Kern Pharma,50,28,",,0:40",trofeo-andratx-mirador-d-es-colomer/2023
864,6,114,,BARCELÓ FernandoCaja Rural - Seguros RGA,27,Caja Rural - Seguros RGA,40,24,0:440:44,trofeo-andratx-mirador-d-es-colomer/2023
865,7,39,,KONRAD PatrickBORA - hansgrohe,31,BORA - hansgrohe,35,20,",,0:44",trofeo-andratx-mirador-d-es-colomer/2023
866,8,82,,BARRÉ LouisTeam Arkéa Samsic,22,Team Arkéa Samsic,30,18,0:480:48,trofeo-andratx-mirador-d-es-colomer/2023
867,9,27,,SERRANO GonzaloMovistar Team,28,Movistar Team,25,16,0:500:50,trofeo-andratx-mirador-d-es-colomer/2023
868,10,37,,BUCHMANN EmanuelBORA - hansgrohe,30,BORA - hansgrohe,20,14,0:530:53,trofeo-andratx-mirador-d-es-colomer/2023
869,11,47,,WANDAHL FrederikBORA - hansgrohe,21,BORA - hansgrohe,15,12,0:550:55,trofeo-andratx-mirador-d-es-colomer/2023
870,12,31,,ULISSI DiegoUAE Team Emirates,33,UAE Team Emirates,10,10,",,0:55",trofeo-andratx-mirador-d-es-colomer/2023
871,13,238,,COSTA RuiIntermarché - Circus - Wanty,36,Intermarché - Circus - Wanty,5,8,",,0:55",trofeo-andratx-mirador-d-es-colomer/2023
872,14,67,,CARTHY HughEF Education-EasyPost,28,EF Education-EasyPost,5,7,",,0:55",trofeo-andratx-mirador-d-es-colomer/2023
873,15,42,,UIJTDEBROEKS CianBORA - hansgrohe,19,BORA - hansgrohe,5,6,",,0:55",trofeo-andratx-mirador-d-es-colomer/2023
874,16,48,,MARTIN GuillaumeCofidis,29,Cofidis,3,5,1:021:02,trofeo-andratx-mirador-d-es-colomer/2023
875,17,38,,KÄMNA LennardBORA - hansgrohe,26,BORA - hansgrohe,3,4,",,1:02",trofeo-andratx-mirador-d-es-colomer/2023
876,18,1,,ALAPHILIPPE JulianSoudal - Quick Step,30,Soudal - Quick Step,3,3,1:051:05,trofeo-andratx-mirador-d-es-colomer/2023
877,19,177,,BERRADE UrkoEquipo Kern Pharma,25,Equipo Kern Pharma,3,2,1:141:14,trofeo-andratx-mirador-d-es-colomer/2023
878,20,8,,MASNADA FaustoSoudal - Quick Step,29,Soudal - Quick Step,3,1,",,1:14",trofeo-andratx-mirador-d-es-colomer/2023
879,21,36,,ALMEIDA JoãoUAE Team Emirates,24,UAE Team Emirates,3,,",,1:14",trofeo-andratx-mirador-d-es-colomer/2023
880,22,161,,BIZKARRA MikelEuskaltel - Euskadi,33,Euskaltel - Euskadi,3,,1:161:16,trofeo-andratx-mirador-d-es-colomer/2023
881,23,81,,BARGUIL WarrenTeam Arkéa Samsic,31,Team Arkéa Samsic,3,,1:291:29,trofeo-andratx-mirador-d-es-colomer/2023
882,24,167,,BOU JoanEuskaltel - Euskadi,26,Euskaltel - Euskadi,3,,1:321:32,trofeo-andratx-mirador-d-es-colomer/2023
883,25,14,,VERVAEKE LouisSoudal - Quick Step,29,Soudal - Quick Step,3,,1:381:38,trofeo-andratx-mirador-d-es-colomer/2023
884,26,51,,HERRADA JoséCofidis,37,Cofidis,,,1:401:40,trofeo-andratx-mirador-d-es-colomer/2023
885,27,102,,SEPÚLVEDA EduardoLotto Dstny,31,Lotto Dstny,,,1:481:48,trofeo-andratx-mirador-d-es-colomer/2023
886,28,32,,BJERG MikkelUAE Team Emirates,24,UAE Team Emirates,,,1:511:51,trofeo-andratx-mirador-d-es-colomer/2023
887,29,122,,MARTÍN Sergio RomanCaja Rural - Seguros RGA,26,Caja Rural - Seguros RGA,,,2:142:14,trofeo-andratx-mirador-d-es-colomer/2023
888,30,91,,RIES MichelTeam Arkéa Samsic,24,Team Arkéa Samsic,,,2:262:26,trofeo-andratx-mirador-d-es-colomer/2023
889,31,157,,TOLIO AlexGreen Project-Bardiani CSF-Faizanè,22,Green Project-Bardiani CSF-Faizanè,,,2:372:37,trofeo-andratx-mirador-d-es-colomer/2023
890,32,40,,PALZER AntonBORA - hansgrohe,29,BORA - hansgrohe,,,2:492:49,trofeo-andratx-mirador-d-es-colomer/2023
891,33,18,,ARCAS JorgeMovistar Team,30,Movistar Team,,,4:194:19,trofeo-andratx-mirador-d-es-colomer/2023
892,34,15,,VAN WILDER IlanSoudal - Quick Step,22,Soudal - Quick Step,,,5:305:30,trofeo-andratx-mirador-d-es-colomer/2023
893,35,12,,VANSEVENANT MauriSoudal - Quick Step,23,Soudal - Quick Step,,,5:545:54,trofeo-andratx-mirador-d-es-colomer/2023
894,36,99,,PAASSCHENS MathijsLotto Dstny,26,Lotto Dstny,,,12:1512:15,trofeo-andratx-mirador-d-es-colomer/2023
895,37,176,,ARRIETA IgorEquipo Kern Pharma,20,Equipo Kern Pharma,,,14:1514:15,trofeo-andratx-mirador-d-es-colomer/2023
896,38,183,,RUIZ IbonEquipo Kern Pharma,23,Equipo Kern Pharma,,,",,14:15",trofeo-andratx-mirador-d-es-colomer/2023
897,39,20,,GARCÍA CORTINA IvánMovistar Team,27,Movistar Team,,,14:5914:59,trofeo-andratx-mirador-d-es-colomer/2023
898,40,84,,DELAPLACE AnthonyTeam Arkéa Samsic,33,Team Arkéa Samsic,,,15:0815:08,trofeo-andratx-mirador-d-es-colomer/2023
899,41,58,,DOULL OwainEF Education-EasyPost,29,EF Education-EasyPost,,,15:1615:16,trofeo-andratx-mirador-d-es-colomer/2023
900,42,63,,SHAW JamesEF Education-EasyPost,26,EF Education-EasyPost,,,",,15:16",trofeo-andratx-mirador-d-es-colomer/2023
901,43,187,,BONNEU KamielTeam Flanders - Baloise,23,Team Flanders - Baloise,,,",,15:16",trofeo-andratx-mirador-d-es-colomer/2023
902,44,133,,GAROSIO AndreaEOLO-Kometa,29,EOLO-Kometa,,,",,15:16",trofeo-andratx-mirador-d-es-colomer/2023
903,45,53,,TOUMIRE HugoCofidis,21,Cofidis,,,",,15:16",trofeo-andratx-mirador-d-es-colomer/2023
904,46,155,,NIERI AlessioGreen Project-Bardiani CSF-Faizanè,21,Green Project-Bardiani CSF-Faizanè,,,",,15:16",trofeo-andratx-mirador-d-es-colomer/2023
905,47,168,,MARTÍN GotzonEuskaltel - Euskadi,26,Euskaltel - Euskadi,,,17:2417:24,trofeo-andratx-mirador-d-es-colomer/2023
906,48,95,,EENKHOORN PascalLotto Dstny,25,Lotto Dstny,,,18:5618:56,trofeo-andratx-mirador-d-es-colomer/2023
907,49,115,,AMEZQUETA JulenCaja Rural - Seguros RGA,29,Caja Rural - Seguros RGA,,,19:0819:08,trofeo-andratx-mirador-d-es-colomer/2023
908,OTL,93,,RIOU AlanTeam Arkéa Samsic,25,Team Arkéa Samsic,,,19:4019:40,trofeo-andratx-mirador-d-es-colomer/2023
909,OTL,140,,PEÑALVER ManuelBurgos-BH,24,Burgos-BH,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
910,OTL,142,,OKAMIKA AnderBurgos-BH,29,Burgos-BH,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
911,OTL,123,,MURGUIALDAY JokinCaja Rural - Seguros RGA,22,Caja Rural - Seguros RGA,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
912,OTL,121,,HAILEMICHAEL Mulu KinfeCaja Rural - Seguros RGA,23,Caja Rural - Seguros RGA,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
913,OTL,50,,GESCHKE SimonCofidis,36,Cofidis,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
914,OTL,54,,WALLAYS JelleCofidis,33,Cofidis,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
915,OTL,199,,HAGA ChadHuman Powered Health,34,Human Powered Health,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
916,OTL,2,,ASGREEN KasperSoudal - Quick Step,27,Soudal - Quick Step,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
917,OTL,41,,POLITT NilsBORA - hansgrohe,28,BORA - hansgrohe,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
918,OTL,193,,VAN HEMELEN VincentTeam Flanders - Baloise,22,Team Flanders - Baloise,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
919,OTL,190,,COLMAN AlexTeam Flanders - Baloise,24,Team Flanders - Baloise,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
920,OTL,189,,CLYNHENS ToonTeam Flanders - Baloise,21,Team Flanders - Baloise,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
921,OTL,194,,VANHOOF WardTeam Flanders - Baloise,23,Team Flanders - Baloise,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
922,OTL,79,,TEUNISSEN MikeIntermarché - Circus - Wanty,30,Intermarché - Circus - Wanty,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
923,OTL,76,,MARIT ArneIntermarché - Circus - Wanty,24,Intermarché - Circus - Wanty,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
924,OTL,71,,MEINTJES LouisIntermarché - Circus - Wanty,30,Intermarché - Circus - Wanty,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
925,OTL,110,,MACKELLAR AlastairIsrael - Premier Tech,21,Israel - Premier Tech,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
926,OTL,109,,VAN ASBROECK TomIsrael - Premier Tech,32,Israel - Premier Tech,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
927,OTL,111,,PICKRELL RileyIsrael - Premier Tech,21,Israel - Premier Tech,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
928,OTL,106,,HOLLENSTEIN RetoIsrael - Premier Tech,37,Israel - Premier Tech,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
929,OTL,151,,GABBURO DavideGreen Project-Bardiani CSF-Faizanè,29,Green Project-Bardiani CSF-Faizanè,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
930,OTL,149,,COVILI LucaGreen Project-Bardiani CSF-Faizanè,25,Green Project-Bardiani CSF-Faizanè,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
931,OTL,160,,EL GOUZI OmarGreen Project-Bardiani CSF-Faizanè,23,Green Project-Bardiani CSF-Faizanè,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
932,OTL,61,,STEINHAUSER GeorgEF Education-EasyPost,21,EF Education-EasyPost,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
933,OTL,59,,PADUN MarkEF Education-EasyPost,26,EF Education-EasyPost,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
