,Rnk,BIB,H2H,Rider,Age,Team,UCI,Pnt,Time,race_code,,Avg
24,24,31,,DOULL OwainTeam INEOS,26,Team INEOS,12,11,",,0:50",great-ocean-race/2020,,
25,25,133,,ROSSKOPF JoeyCCC Team,30,CCC Team,12,10,",,0:50",great-ocean-race/2020,,
26,26,112,,POWER RobertTeam Sunweb,24,Team Sunweb,12,9,",,0:50",great-ocean-race/2020,,
27,27,92,,CHEVRIER ClémentAG2R La Mondiale,27,AG2R La Mondiale,12,8,",,0:50",great-ocean-race/2020,,
28,28,44,,HOLMES MatthewLotto Soudal,26,Lotto Soudal,12,7,",,0:50",great-ocean-race/2020,,
29,29,96,,WARBASSE LarryAG2R La Mondiale,29,AG2R La Mondiale,12,6,",,0:50",great-ocean-race/2020,,
30,30,94,,GASTAUER BenAG2R La Mondiale,32,AG2R La Mondiale,12,5,",,0:50",great-ocean-race/2020,,
31,31,85,,PIBERNIK LukaBahrain - McLaren,26,Bahrain - McLaren,5,5,",,0:50",great-ocean-race/2020,,
32,32,76,,PORTE RichieTrek - Segafredo,35,Trek - Segafredo,5,5,",,0:50",great-ocean-race/2020,,
33,33,72,,ELISSONDE KennyTrek - Segafredo,28,Trek - Segafredo,5,5,",,0:50",great-ocean-race/2020,,
34,34,111,,HINDLEY JaiTeam Sunweb,23,Team Sunweb,5,5,",,0:50",great-ocean-race/2020,,
35,35,127,,BOIVIN GuillaumeIsrael Start-Up Nation,30,Israel Start-Up Nation,5,5,",,0:50",great-ocean-race/2020,,
36,36,105,,LIENHARD FabianGroupama - FDJ,26,Groupama - FDJ,5,5,",,0:50",great-ocean-race/2020,,
37,37,65,,POWLESS NeilsonEF Pro Cycling,23,EF Pro Cycling,5,5,",,0:50",great-ocean-race/2020,,
38,38,107,,SCOTSON MilesGroupama - FDJ,26,Groupama - FDJ,5,5,0:580:58,great-ocean-race/2020,,
39,39,125,,PICCOLI JamesIsrael Start-Up Nation,28,Israel Start-Up Nation,5,5,",,0:58",great-ocean-race/2020,,
40,40,132,,GESCHKE SimonCCC Team,33,CCC Team,5,5,1:061:06,great-ocean-race/2020,,
41,41,61,,DOCKER MitchellEF Pro Cycling,33,EF Pro Cycling,5,5,1:191:19,great-ocean-race/2020,,
42,42,11,,BENNETT SamDeceuninck - Quick Step,29,Deceuninck - Quick Step,5,5,1:331:33,great-ocean-race/2020,,
43,43,121,,GREIPEL AndréIsrael Start-Up Nation,37,Israel Start-Up Nation,5,5,1:371:37,great-ocean-race/2020,,
44,44,115,,KANTER MaxTeam Sunweb,22,Team Sunweb,5,5,",,1:37",great-ocean-race/2020,,
45,45,91,,BOUCHARD GeoffreyAG2R La Mondiale,27,AG2R La Mondiale,5,5,",,1:37",great-ocean-race/2020,,
46,46,101,,ARMIRAIL BrunoGroupama - FDJ,25,Groupama - FDJ,5,5,",,1:37",great-ocean-race/2020,,
47,47,153,,TOOVEY AydenKorda Mentha Real Estate Australia,24,Korda Mentha Real Estate Australia,5,5,",,1:37",great-ocean-race/2020,,
48,48,25,,SAGAN JurajBORA - hansgrohe,31,BORA - hansgrohe,5,5,",,1:37",great-ocean-race/2020,,
49,49,145,,DE BOD StefanNTT Pro Cycling,23,NTT Pro Cycling,5,5,",,1:37",great-ocean-race/2020,,
50,50,22,,BENEDETTI CesareBORA - hansgrohe,32,BORA - hansgrohe,5,5,",,1:37",great-ocean-race/2020,,
51,51,26,,SCHELLING IdeBORA - hansgrohe,21,BORA - hansgrohe,2,5,",,1:37",great-ocean-race/2020,,
52,52,56,,SCHULTZ NickMitchelton-Scott,25,Mitchelton-Scott,2,5,",,1:37",great-ocean-race/2020,,
53,53,13,,ALMEIDA JoãoDeceuninck - Quick Step,21,Deceuninck - Quick Step,2,5,",,1:37",great-ocean-race/2020,,
54,54,124,,DOWSETT AlexIsrael Start-Up Nation,31,Israel Start-Up Nation,2,5,2:362:36,great-ocean-race/2020,,
55,55,142,,GIBBONS RyanNTT Pro Cycling,25,NTT Pro Cycling,2,5,",,2:36",great-ocean-race/2020,,
56,56,113,,STORER MichaelTeam Sunweb,22,Team Sunweb,1,5,3:103:10,great-ocean-race/2020,,
57,57,33,,ROWE LukeTeam INEOS,29,Team INEOS,1,5,3:203:20,great-ocean-race/2020,,
58,58,117,,STORK FlorianTeam Sunweb,22,Team Sunweb,1,5,",,3:20",great-ocean-race/2020,,
59,59,74,,LÓPEZ Juan PedroTrek - Segafredo,22,Trek - Segafredo,1,5,",,3:20",great-ocean-race/2020,,
60,60,47,,VAN DER SANDE ToshLotto Soudal,29,Lotto Soudal,1,5,4:134:13,great-ocean-race/2020,,
61,61,43,,HANSEN AdamLotto Soudal,38,Lotto Soudal,,5,",,4:13",great-ocean-race/2020,,
62,62,7,,VANBILSEN KennethCofidis,29,Cofidis,,5,",,4:13",great-ocean-race/2020,,
63,63,152,,PORTER RudyKorda Mentha Real Estate Australia,19,Korda Mentha Real Estate Australia,,5,4:364:36,great-ocean-race/2020,,
64,64,66,,RUTSCH JonasEF Pro Cycling,22,EF Pro Cycling,,5,5:435:43,great-ocean-race/2020,,
65,65,45,,KLUGE RogerLotto Soudal,33,Lotto Soudal,,5,",,5:43",great-ocean-race/2020,,
66,66,46,,DIBBEN JonathanLotto Soudal,25,Lotto Soudal,,5,5:535:53,great-ocean-race/2020,,
67,67,53,,HOWSON DamienMitchelton-Scott,27,Mitchelton-Scott,,5,",,5:53",great-ocean-race/2020,,
68,68,144,,WYSS DaniloNTT Pro Cycling,34,NTT Pro Cycling,,5,",,5:53",great-ocean-race/2020,,
69,69,131,,ČERNÝ JosefCCC Team,26,CCC Team,,5,",,5:53",great-ocean-race/2020,,
70,70,57,,SMITH DionMitchelton-Scott,26,Mitchelton-Scott,,5,",,5:53",great-ocean-race/2020,,
71,71,151,,TURNBULL CarterKorda Mentha Real Estate Australia,19,Korda Mentha Real Estate Australia,,5,6:556:55,great-ocean-race/2020,,
72,72,154,,WHITE NicholasKorda Mentha Real Estate Australia,22,Korda Mentha Real Estate Australia,,5,",,6:55",great-ocean-race/2020,,
73,73,77,,REIJNEN KielTrek - Segafredo,33,Trek - Segafredo,,5,",,6:55",great-ocean-race/2020,,
74,74,126,,RÄIM MihkelIsrael Start-Up Nation,26,Israel Start-Up Nation,,5,",,6:55",great-ocean-race/2020,,
75,75,135,,VAN KEIRSBULCK GuillaumeCCC Team,28,CCC Team,,5,",,6:55",great-ocean-race/2020,,
76,76,24,,BAŠKA ErikBORA - hansgrohe,26,BORA - hansgrohe,,5,",,6:55",great-ocean-race/2020,,
77,77,75,,DE KORT KoenTrek - Segafredo,37,Trek - Segafredo,,5,",,6:55",great-ocean-race/2020,,
78,78,73,,RIES MichelTrek - Segafredo,21,Trek - Segafredo,,5,",,6:55",great-ocean-race/2020,,
79,79,123,,CATAFORD AlexanderIsrael Start-Up Nation,26,Israel Start-Up Nation,,5,",,6:55",great-ocean-race/2020,,
80,80,64,,MORTON LachlanEF Pro Cycling,28,EF Pro Cycling,,5,",,6:55",great-ocean-race/2020,,
81,81,55,,MEYER CameronMitchelton-Scott,32,Mitchelton-Scott,,5,",,6:55",great-ocean-race/2020,,
82,82,147,,SUNDERLAND DylanNTT Pro Cycling,23,NTT Pro Cycling,,5,",,6:55",great-ocean-race/2020,,
83,83,104,,GUARNIERI JacopoGroupama - FDJ,32,Groupama - FDJ,,5,",,6:55",great-ocean-race/2020,,
84,84,14,,CATTANEO MattiaDeceuninck - Quick Step,29,Deceuninck - Quick Step,,5,",,6:55",great-ocean-race/2020,,
85,85,146,,TILLER RasmusNTT Pro Cycling,23,NTT Pro Cycling,,5,10:0310:03,great-ocean-race/2020,,
86,86,143,,BATTISTELLA SamueleNTT Pro Cycling,21,NTT Pro Cycling,,5,",,10:03",great-ocean-race/2020,,
87,87,6,,SABATINI FabioCofidis,34,Cofidis,,5,11:5511:55,great-ocean-race/2020,,
88,88,67,,SCULLY TomEF Pro Cycling,30,EF Pro Cycling,,5,12:0312:03,great-ocean-race/2020,,
89,89,32,,LAWLESS ChrisTeam INEOS,24,Team INEOS,,5,",,12:03",great-ocean-race/2020,,
90,90,16,,KEISSE IljoDeceuninck - Quick Step,37,Deceuninck - Quick Step,,5,",,12:03",great-ocean-race/2020,,
91,91,12,,ARCHBOLD ShaneDeceuninck - Quick Step,31,Deceuninck - Quick Step,,5,",,12:03",great-ocean-race/2020,,
92,92,23,,LAAS MartinBORA - hansgrohe,26,BORA - hansgrohe,,5,",,12:03",great-ocean-race/2020,,
93,93,157,,LEAHY ConorKorda Mentha Real Estate Australia,20,Korda Mentha Real Estate Australia,,5,",,12:03",great-ocean-race/2020,,
94,94,5,,MATHIS MarcoCofidis,25,Cofidis,,5,",,12:03",great-ocean-race/2020,,
95,95,4,,LE TURNIER MathiasCofidis,24,Cofidis,,5,",,12:03",great-ocean-race/2020,,
96,DNF,136,,VENTOSO Francisco JoséCCC Team,37,CCC Team,,,-,great-ocean-race/2020,,
97,DNF,103,,DELAGE MickaëlGroupama - FDJ,34,Groupama - FDJ,,,-,great-ocean-race/2020,,
98,DNF,102,,FRANKINY KilianGroupama - FDJ,26,Groupama - FDJ,,,-,great-ocean-race/2020,,
99,DNF,54,,BEWLEY SamMitchelton-Scott,32,Mitchelton-Scott,,,-,great-ocean-race/2020,,
100,DNF,114,,DAINESE AlbertoTeam Sunweb,21,Team Sunweb,,,-,great-ocean-race/2020,,
101,DNF,116,,KRAGH ANDERSEN AsbjørnTeam Sunweb,27,Team Sunweb,,,-,great-ocean-race/2020,,
102,DNF,35,,STANNARD IanTeam INEOS,32,Team INEOS,,,-,great-ocean-race/2020,,
103,DNF,37,,WURF CameronTeam INEOS,36,Team INEOS,,,-,great-ocean-race/2020,,
104,DNF,42,,DE GENDT ThomasLotto Soudal,33,Lotto Soudal,,,-,great-ocean-race/2020,,
105,DNF,155,,SCHULTZ ElliotKorda Mentha Real Estate Australia,19,Korda Mentha Real Estate Australia,,,-,great-ocean-race/2020,,
106,DNF,156,,QUICK BlakeKorda Mentha Real Estate Australia,19,Korda Mentha Real Estate Australia,,,-,great-ocean-race/2020,,
107,DNF,82,,NOVAK DomenBahrain - McLaren,24,Bahrain - McLaren,,,-,great-ocean-race/2020,,
108,DNF,86,,BUITRAGO SantiagoBahrain - McLaren,20,Bahrain - McLaren,,,-,great-ocean-race/2020,,
109,,,,,,,,,,omloop-het-nieuwsblad/2020,,
110,1,16,,STUYVEN JasperTrek - Segafredo,27,Trek - Segafredo,300,225,5:03:24,omloop-het-nieuwsblad/2020,,
111,2,6,,LAMPAERT YvesDeceuninck - Quick Step,28,Deceuninck - Quick Step,250,150,",,0:00",omloop-het-nieuwsblad/2020,,
112,3,175,,KRAGH ANDERSEN SørenTeam Sunweb,25,Team Sunweb,215,110,0:060:06,omloop-het-nieuwsblad/2020,,
113,4,34,,TRENTIN MatteoCCC Team,30,CCC Team,175,90,0:390:39,omloop-het-nieuwsblad/2020,,
114,5,3,,DECLERCQ TimDeceuninck - Quick Step,30,Deceuninck - Quick Step,120,80,1:281:28,omloop-het-nieuwsblad/2020,,
115,6,155,,TEUNISSEN MikeTeam Jumbo-Visma,27,Team Jumbo-Visma,115,70,",,1:28",omloop-het-nieuwsblad/2020,,
116,7,41,,NAESEN OliverAG2R La Mondiale,29,AG2R La Mondiale,95,60,",,1:28",omloop-het-nieuwsblad/2020,,
117,8,21,,GILBERT PhilippeLotto Soudal,37,Lotto Soudal,75,50,",,1:28",omloop-het-nieuwsblad/2020,,
118,9,101,,KÜNG StefanGroupama - FDJ,26,Groupama - FDJ,60,46,",,1:28",omloop-het-nieuwsblad/2020,,
119,10,7,,SÉNÉCHAL FlorianDeceuninck - Quick Step,26,Deceuninck - Quick Step,50,42,",,1:28",omloop-het-nieuwsblad/2020,,
120,11,151,,VAN AERT WoutTeam Jumbo-Visma,25,Team Jumbo-Visma,40,38,",,1:28",omloop-het-nieuwsblad/2020,,
121,12,82,,DRUCKER JempyBORA - hansgrohe,33,BORA - hansgrohe,35,34,",,1:28",omloop-het-nieuwsblad/2020,,
122,13,31,,VAN AVERMAET GregCCC Team,34,CCC Team,30,30,",,1:28",omloop-het-nieuwsblad/2020,,
123,14,171,,BENOOT TiesjTeam Sunweb,25,Team Sunweb,25,26,",,1:28",omloop-het-nieuwsblad/2020,,
124,15,22,,FRISON FrederikLotto Soudal,27,Lotto Soudal,20,22,",,1:28",omloop-het-nieuwsblad/2020,,
125,16,131,,ROELANDTS JürgenMovistar Team,34,Movistar Team,20,20,",,1:28",omloop-het-nieuwsblad/2020,,
126,17,42,,DILLIER SilvanAG2R La Mondiale,29,AG2R La Mondiale,20,18,",,1:28",omloop-het-nieuwsblad/2020,,
127,18,71,,TEUNS DylanBahrain - McLaren,27,Bahrain - McLaren,20,17,",,1:28",omloop-het-nieuwsblad/2020,,
128,19,211,,DE GENDT AiméCircus - Wanty Gobert,25,Circus - Wanty Gobert,20,16,",,1:28",omloop-het-nieuwsblad/2020,,
129,20,85,,PÖSTLBERGER LukasBORA - hansgrohe,28,BORA - hansgrohe,20,15,2:102:10,omloop-het-nieuwsblad/2020,,
130,21,161,,VALGREN MichaelNTT Pro Cycling,28,NTT Pro Cycling,12,14,",,2:10",omloop-het-nieuwsblad/2020,,
131,22,75,,HAUSSLER HeinrichBahrain - McLaren,36,Bahrain - McLaren,12,13,2:202:20,omloop-het-nieuwsblad/2020,,
132,23,51,,VANMARCKE SepEF Pro Cycling,31,EF Pro Cycling,12,12,",,2:20",omloop-het-nieuwsblad/2020,,
133,24,195,,THWAITES ScottAlpecin-Fenix,30,Alpecin-Fenix,12,11,",,2:20",omloop-het-nieuwsblad/2020,,
134,25,246,,TURGIS AnthonyTeam Total Direct Energie,25,Team Total Direct Energie,12,10,",,2:20",omloop-het-nieuwsblad/2020,,
135,26,36,,VAN HOOYDONCK NathanCCC Team,24,CCC Team,12,9,",,2:20",omloop-het-nieuwsblad/2020,,
136,27,134,,JACOBS JohanMovistar Team,22,Movistar Team,12,8,",,2:20",omloop-het-nieuwsblad/2020,,
137,28,27,,WELLENS TimLotto Soudal,28,Lotto Soudal,12,7,",,2:20",omloop-het-nieuwsblad/2020,,
138,29,223,,PLANCKAERT EdwardSport Vlaanderen - Baloise,25,Sport Vlaanderen - Baloise,12,6,",,2:20",omloop-het-nieuwsblad/2020,,
139,30,247,,VAN GESTEL DriesTeam Total Direct Energie,25,Team Total Direct Energie,12,5,",,2:20",omloop-het-nieuwsblad/2020,,
140,31,33,,SCHÄR MichaelCCC Team,33,CCC Team,5,5,",,2:20",omloop-het-nieuwsblad/2020,,
141,32,4,,JUNGELS BobDeceuninck - Quick Step,27,Deceuninck - Quick Step,5,5,",,2:20",omloop-het-nieuwsblad/2020,,
142,33,241,,TERPSTRA NikiTeam Total Direct Energie,35,Team Total Direct Energie,5,5,",,2:20",omloop-het-nieuwsblad/2020,,
143,34,25,,VAN MOER BrentLotto Soudal,22,Lotto Soudal,5,5,2:242:24,omloop-het-nieuwsblad/2020,,
144,35,2,,ASGREEN KasperDeceuninck - Quick Step,25,Deceuninck - Quick Step,5,5,4:034:03,omloop-het-nieuwsblad/2020,,
145,36,1,,ŠTYBAR ZdeněkDeceuninck - Quick Step,34,Deceuninck - Quick Step,5,5,",,4:03",omloop-het-nieuwsblad/2020,,
146,37,112,,BIERMANS JentheIsrael Start-Up Nation,24,Israel Start-Up Nation,5,5,",,4:03",omloop-het-nieuwsblad/2020,,
147,38,146,,SWIFT BenTeam INEOS,32,Team INEOS,5,5,",,4:03",omloop-het-nieuwsblad/2020,,
148,39,152,,EENKHOORN PascalTeam Jumbo-Visma,23,Team Jumbo-Visma,5,5,4:484:48,omloop-het-nieuwsblad/2020,,
149,40,192,,DE BONDT DriesAlpecin-Fenix,28,Alpecin-Fenix,5,5,4:534:53,omloop-het-nieuwsblad/2020,,
150,41,47,,VENTURINI ClémentAG2R La Mondiale,26,AG2R La Mondiale,5,5,",,4:53",omloop-het-nieuwsblad/2020,,
151,42,92,,ALLEGAERT PietCofidis,25,Cofidis,5,5,",,4:53",omloop-het-nieuwsblad/2020,,
152,43,164,,JANSE VAN RENSBURG ReinardtNTT Pro Cycling,31,NTT Pro Cycling,5,5,5:585:58,omloop-het-nieuwsblad/2020,,
153,44,227,,WARLOP JordiSport Vlaanderen - Baloise,23,Sport Vlaanderen - Baloise,5,5,",,5:58",omloop-het-nieuwsblad/2020,,
154,45,13,,KIRSCH AlexTrek - Segafredo,27,Trek - Segafredo,5,5,6:006:00,omloop-het-nieuwsblad/2020,,
155,46,234,,NOPPE ChristopheTeam Arkéa Samsic,25,Team Arkéa Samsic,5,5,7:267:26,omloop-het-nieuwsblad/2020,,
156,47,111,,POLITT NilsIsrael Start-Up Nation,25,Israel Start-Up Nation,5,5,",,7:26",omloop-het-nieuwsblad/2020,,
157,48,186,,MARCATO MarcoUAE Team Emirates,36,UAE Team Emirates,5,5,",,7:26",omloop-het-nieuwsblad/2020,,
158,49,141,,STANNARD IanTeam INEOS,32,Team INEOS,5,5,",,7:26",omloop-het-nieuwsblad/2020,,
159,50,74,,COLBRELLI SonnyBahrain - McLaren,29,Bahrain - McLaren,5,5,",,7:26",omloop-het-nieuwsblad/2020,,
160,51,53,,KEUKELEIRE JensEF Pro Cycling,31,EF Pro Cycling,2,5,",,7:26",omloop-het-nieuwsblad/2020,,
161,52,126,,SMITH DionMitchelton-Scott,26,Mitchelton-Scott,2,5,",,7:26",omloop-het-nieuwsblad/2020,,
162,53,121,,AFFINI EdoardoMitchelton-Scott,23,Mitchelton-Scott,2,5,",,7:26",omloop-het-nieuwsblad/2020,,
163,54,144,,MOSCON GianniTeam INEOS,25,Team INEOS,2,5,",,7:26",omloop-het-nieuwsblad/2020,,
164,55,117,,VAN ASBROECK TomIsrael Start-Up Nation,29,Israel Start-Up Nation,2,5,9:329:32,omloop-het-nieuwsblad/2020,,
165,56,86,,SCHELLING IdeBORA - hansgrohe,22,BORA - hansgrohe,1,5,",,9:32",omloop-het-nieuwsblad/2020,,
166,57,215,,VAN POPPEL BoyCircus - Wanty Gobert,32,Circus - Wanty Gobert,1,5,",,9:32",omloop-het-nieuwsblad/2020,,
167,58,125,,KONYCHEV AlexanderMitchelton-Scott,21,Mitchelton-Scott,1,5,",,9:32",omloop-het-nieuwsblad/2020,,
168,59,163,,BOASSON HAGEN EdvaldNTT Pro Cycling,32,NTT Pro Cycling,1,5,",,9:32",omloop-het-nieuwsblad/2020,,
169,60,37,,VAN KEIRSBULCK GuillaumeCCC Team,29,CCC Team,1,5,",,9:32",omloop-het-nieuwsblad/2020,,
170,61,93,,LEMOINE CyrilCofidis,36,Cofidis,,5,",,9:32",omloop-het-nieuwsblad/2020,,
171,62,236,,SWIFT ConnorTeam Arkéa Samsic,24,Team Arkéa Samsic,,5,",,9:32",omloop-het-nieuwsblad/2020,,
172,63,23,,MAES NikolasLotto Soudal,33,Lotto Soudal,,5,",,9:32",omloop-het-nieuwsblad/2020,,
173,64,221,,CAPIOT AmaurySport Vlaanderen - Baloise,26,Sport Vlaanderen - Baloise,,5,",,9:32",omloop-het-nieuwsblad/2020,,
174,65,196,,VAKOČ PetrAlpecin-Fenix,27,Alpecin-Fenix,,5,",,9:32",omloop-het-nieuwsblad/2020,,
175,66,11,,PEDERSEN MadsTrek - Segafredo,24,Trek - Segafredo,,5,",,9:32",omloop-het-nieuwsblad/2020,,
176,67,157,,WYNANTS MaartenTeam Jumbo-Visma,37,Team Jumbo-Visma,,5,",,9:32",omloop-het-nieuwsblad/2020,,
177,68,63,,FELLINE FabioAstana Pro Team,29,Astana Pro Team,,5,",,9:32",omloop-het-nieuwsblad/2020,,
178,69,77,,WRIGHT FredBahrain - McLaren,20,Bahrain - McLaren,,5,9:469:46,omloop-het-nieuwsblad/2020,,
179,DNF,46,,NAESEN LawrenceAG2R La Mondiale,27,AG2R La Mondiale,,,-,omloop-het-nieuwsblad/2020,,
180,DNF,43,,DUVAL JulienAG2R La Mondiale,29,AG2R La Mondiale,,,-,omloop-het-nieuwsblad/2020,,
181,DNF,44,,GODON DorianAG2R La Mondiale,23,AG2R La Mondiale,,,-,omloop-het-nieuwsblad/2020,,
182,DNF,194,,SBARAGLI KristianAlpecin-Fenix,29,Alpecin-Fenix,,,-,omloop-het-nieuwsblad/2020,,
183,DNF,191,,DE TIER FlorisAlpecin-Fenix,28,Alpecin-Fenix,,,-,omloop-het-nieuwsblad/2020,,
184,DNF,197,,VERGAERDE OttoAlpecin-Fenix,25,Alpecin-Fenix,,,-,omloop-het-nieuwsblad/2020,,
185,DNF,193,,LEYSEN SenneAlpecin-Fenix,23,Alpecin-Fenix,,,-,omloop-het-nieuwsblad/2020,,
186,DNF,32,,KOCH JonasCCC Team,26,CCC Team,,,-,omloop-het-nieuwsblad/2020,,
187,DNF,35,,VAN HOECKE GijsCCC Team,28,CCC Team,,,-,omloop-het-nieuwsblad/2020,,
188,DNF,233,,VACHON FlorianTeam Arkéa Samsic,35,Team Arkéa Samsic,,,-,omloop-het-nieuwsblad/2020,,
189,DNF,235,,RUSSO ClémentTeam Arkéa Samsic,25,Team Arkéa Samsic,,,-,omloop-het-nieuwsblad/2020,,
190,DNF,231,,JARRIER BenoîtTeam Arkéa Samsic,31,Team Arkéa Samsic,,,-,omloop-het-nieuwsblad/2020,,
191,DNF,237,,WELTEN BramTeam Arkéa Samsic,22,Team Arkéa Samsic,,,-,omloop-het-nieuwsblad/2020,,
192,DNF,232,,MCLAY DanielTeam Arkéa Samsic,28,Team Arkéa Samsic,,,-,omloop-het-nieuwsblad/2020,,
193,DNF,91,,CLAEYS DimitriCofidis,32,Cofidis,,,-,omloop-het-nieuwsblad/2020,,
194,DNF,97,,VERMOTE JulienCofidis,30,Cofidis,,,-,omloop-het-nieuwsblad/2020,,
195,DNF,94,,MORIN EmmanuelCofidis,24,Cofidis,,,-,omloop-het-nieuwsblad/2020,,
196,DNF,95,,TOUZÉ DamienCofidis,23,Cofidis,,,-,omloop-het-nieuwsblad/2020,,
197,DNF,96,,VANBILSEN KennethCofidis,29,Cofidis,,,-,omloop-het-nieuwsblad/2020,,
198,DNF,243,,MANZIN LorrenzoTeam Total Direct Energie,25,Team Total Direct Energie,,,-,omloop-het-nieuwsblad/2020,,
199,DNF,244,,PETIT AdrienTeam Total Direct Energie,29,Team Total Direct Energie,,,-,omloop-het-nieuwsblad/2020,,
200,DNF,242,,GAUDIN DamienTeam Total Direct Energie,33,Team Total Direct Energie,,,-,omloop-het-nieuwsblad/2020,,
201,DNF,245,,SOUPE GeoffreyTeam Total Direct Energie,31,Team Total Direct Energie,,,-,omloop-het-nieuwsblad/2020,,
202,DNF,105,,LE GAC OlivierGroupama - FDJ,26,Groupama - FDJ,,,-,omloop-het-nieuwsblad/2020,,
203,DNF,102,,SARREAU MarcGroupama - FDJ,26,Groupama - FDJ,,,-,omloop-het-nieuwsblad/2020,,
204,DNF,107,,LUDVIGSSON TobiasGroupama - FDJ,29,Groupama - FDJ,,,-,omloop-het-nieuwsblad/2020,,
205,DNF,103,,DELAGE MickaëlGroupama - FDJ,34,Groupama - FDJ,,,-,omloop-het-nieuwsblad/2020,,
206,DNF,106,,LIENHARD FabianGroupama - FDJ,26,Groupama - FDJ,,,-,omloop-het-nieuwsblad/2020,,
207,DNF,104,,GENIETS KevinGroupama - FDJ,23,Groupama - FDJ,,,-,omloop-het-nieuwsblad/2020,,
208,DNF,123,,DURBRIDGE LukeMitchelton-Scott,28,Mitchelton-Scott,,,-,omloop-het-nieuwsblad/2020,,
209,DNF,124,,EDMONDSON AlexMitchelton-Scott,26,Mitchelton-Scott,,,-,omloop-het-nieuwsblad/2020,,
210,DNF,127,,STANNARD RobertMitchelton-Scott,21,Mitchelton-Scott,,,-,omloop-het-nieuwsblad/2020,,
211,DNF,122,,BEWLEY SamMitchelton-Scott,32,Mitchelton-Scott,,,-,omloop-het-nieuwsblad/2020,,
212,DNF,181,,KRISTOFF AlexanderUAE Team Emirates,32,UAE Team Emirates,,,-,omloop-het-nieuwsblad/2020,,
213,DNF,185,,LAENGEN Vegard StakeUAE Team Emirates,31,UAE Team Emirates,,,-,omloop-het-nieuwsblad/2020,,
214,DNF,187,,MOLANO Juan SebastiánUAE Team Emirates,25,UAE Team Emirates,,,-,omloop-het-nieuwsblad/2020,,
215,DNF,182,,BJERG MikkelUAE Team Emirates,21,UAE Team Emirates,,,-,omloop-het-nieuwsblad/2020,,
216,DNF,183,,BOHLI TomUAE Team Emirates,26,UAE Team Emirates,,,-,omloop-het-nieuwsblad/2020,,
217,DNF,184,,COVI AlessandroUAE Team Emirates,21,UAE Team Emirates,,,-,omloop-het-nieuwsblad/2020,,
218,DNF,15,,MULLEN RyanTrek - Segafredo,25,Trek - Segafredo,,,-,omloop-het-nieuwsblad/2020,,
