,Rnk,GC,Timelag,BIB,H2H,Rider,Age,Team,UCI,Pnt,,Time,race_code,Pos.,Timegap,Speed,PCS points,UCI points
363,86,59,+2:16,102,,JOHANSEN JuliusIntermarché - Circus - Wanty,23,Intermarché - Circus - Wanty,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
364,87,81,+2:47,16,,SCHÄR MichaelAG2R Citroën Team,36,AG2R Citroën Team,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
365,88,68,+2:33,14,,LAPEIRA PaulAG2R Citroën Team,22,AG2R Citroën Team,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
366,89,76,+2:41,151,,COSTIOU EwenTeam Arkéa Samsic,20,Team Arkéa Samsic,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
367,90,63,+2:23,146,,VINK MichaelUAE Team Emirates,31,UAE Team Emirates,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
368,91,72,+2:37,144,,BAX SjoerdUAE Team Emirates,27,UAE Team Emirates,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
369,92,71,+2:37,197,,WALSH LiamUniSA-Australia,21,UniSA-Australia,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
370,93,60,+2:17,74,,GAZE SamuelAlpecin-Deceuninck,27,Alpecin-Deceuninck,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
371,94,98,+3:43,76,,RIESEBEEK OscarAlpecin-Deceuninck,30,Alpecin-Deceuninck,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
372,95,84,+2:48,57,,WOOD HarrisonCofidis,22,Cofidis,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
373,96,67,+2:33,42,,BARONCINI FilippoTrek - Segafredo,22,Trek - Segafredo,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
374,97,61,+2:21,43,,BRUSTENGA MarcTrek - Segafredo,23,Trek - Segafredo,,,3″,",,2:133″",tour-down-under/2023/stage-2,,,,,
375,98,74,+2:38,4,,HAMILTON LucasTeam Jayco AlUla,26,Team Jayco AlUla,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
376,99,83,+2:48,24,,FELLINE FabioAstana Qazaqstan Team,32,Astana Qazaqstan Team,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
377,100,95,+3:15,147,,FISHER-BLACK FinnUAE Team Emirates,21,UAE Team Emirates,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
378,101,103,+7:48,192,,DRIZNERS JarradUniSA-Australia,23,UniSA-Australia,,,,",,2:13",tour-down-under/2023/stage-2,,,,,
379,102,86,+2:51,7,,STEWART CampbellTeam Jayco AlUla,24,Team Jayco AlUla,,,,2:252:25,tour-down-under/2023/stage-2,,,,,
380,103,100,+5:31,164,,QUINN SeanEF Education-EasyPost,22,EF Education-EasyPost,,,,3:183:18,tour-down-under/2023/stage-2,,,,,
381,104,108,+8:07,22,,BOARO ManueleAstana Qazaqstan Team,35,Astana Qazaqstan Team,,,,7:397:39,tour-down-under/2023/stage-2,,,,,
382,105,121,+8:27,25,,GRUZDEV DmitriyAstana Qazaqstan Team,36,Astana Qazaqstan Team,,,,7:407:40,tour-down-under/2023/stage-2,,,,,
383,106,113,+8:13,75,,LEYSEN SenneAlpecin-Deceuninck,26,Alpecin-Deceuninck,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
384,107,102,+7:46,66,,STEIMLE JannikSoudal - Quick Step,26,Soudal - Quick Step,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
385,108,110,+8:09,126,,MAS LluísMovistar Team,33,Movistar Team,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
386,109,122,+8:30,181,,FROOME ChrisIsrael - Premier Tech,37,Israel - Premier Tech,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
387,110,112,+8:11,72,,PLOWRIGHT JensenAlpecin-Deceuninck,22,Alpecin-Deceuninck,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
388,111,128,+10:54,36,,SCOTT CameronBahrain - Victorious,25,Bahrain - Victorious,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
389,112,130,+15:02,167,,WIŚNIOWSKI ŁukaszEF Education-EasyPost,31,EF Education-EasyPost,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
390,113,107,+8:07,123,,JACOBS JohanMovistar Team,25,Movistar Team,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
391,114,106,+8:04,94,,HEIDUK KimINEOS Grenadiers,22,INEOS Grenadiers,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
392,115,124,+8:53,56,,RENARD AlexisCofidis,23,Cofidis,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
393,116,114,+8:14,54,,CARVALHO AndreCofidis,25,Cofidis,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
394,117,105,+7:58,117,,VAN EMDEN JosJumbo-Visma,37,Jumbo-Visma,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
395,118,117,+8:18,195,,MARRIAGE ZacUniSA-Australia,19,UniSA-Australia,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
396,119,104,+7:56,107,,SMITH DionIntermarché - Circus - Wanty,29,Intermarché - Circus - Wanty,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
397,120,111,+8:09,137,,TUSVELD MartijnTeam DSM,29,Team DSM,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
398,121,123,+8:33,104,,THIJSSEN GerbenIntermarché - Circus - Wanty,24,Intermarché - Circus - Wanty,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
399,122,120,+8:22,23,,BASSO LeonardoAstana Qazaqstan Team,29,Astana Qazaqstan Team,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
400,123,126,+9:25,53,,CIMOLAI DavideCofidis,33,Cofidis,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
401,124,116,+8:16,26,,LAAS MartinAstana Qazaqstan Team,29,Astana Qazaqstan Team,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
402,125,127,+10:05,105,,VAN DER HOORN TacoIntermarché - Circus - Wanty,29,Intermarché - Circus - Wanty,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
403,126,125,+9:06,125,,SAMITIER SergioMovistar Team,27,Movistar Team,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
404,127,129,+11:45,3,,DURBRIDGE LukeTeam Jayco AlUla,31,Team Jayco AlUla,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
405,128,109,+8:07,183,,CLARKE SimonIsrael - Premier Tech,36,Israel - Premier Tech,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
406,129,131,+15:22,166,,SCULLY TomEF Education-EasyPost,33,EF Education-EasyPost,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
407,130,115,+8:15,154,,HOFSTETTER HugoTeam Arkéa Samsic,28,Team Arkéa Samsic,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
408,131,118,+8:18,152,,LE BERRE MathisTeam Arkéa Samsic,21,Team Arkéa Samsic,,,,",,7:40",tour-down-under/2023/stage-2,,,,,
409,DNF,,,196,,MORIARTY JamesUniSA-Australia,21,UniSA-Australia,,,,-,tour-down-under/2023/stage-2,,,,,
410,DNS,,,193,,FRISLIE GraemeUniSA-Australia,21,UniSA-Australia,,,,-,tour-down-under/2023/stage-2,,,,,
411,DNS,,,6,,HARPER ChrisTeam Jayco AlUla,28,Team Jayco AlUla,,,,-,tour-down-under/2023/stage-2,,,,,
412,DNS,,,194,,LEAHY ConorUniSA-Australia,23,UniSA-Australia,,,,-,tour-down-under/2023/stage-2,,,,,
413,DNS,,,175,,MEEUS JordiBORA - hansgrohe,24,BORA - hansgrohe,,,,-,tour-down-under/2023/stage-2,,,,,
414,1,2,+0:15,31,,BILBAO PelloBahrain - Victorious,32,Bahrain - Victorious,60,50,10″,2:48:1010″,tour-down-under/2023/stage-3,,,,,
415,2,3,+0:16,2,,YATES SimonTeam Jayco AlUla,30,Team Jayco AlUla,40,30,6″,",,0:006″",tour-down-under/2023/stage-3,,,,,
416,3,1,+0:00,141,,VINE JayUAE Team Emirates,27,UAE Team Emirates,30,18,4″,",,0:004″",tour-down-under/2023/stage-3,,,,,
417,4,44,+2:38,1,,MATTHEWS MichaelTeam Jayco AlUla,32,Team Jayco AlUla,25,13,,0:280:28,tour-down-under/2023/stage-3,,,,,
418,5,7,+0:54,101,,BYSTRØM Sven ErikIntermarché - Circus - Wanty,30,Intermarché - Circus - Wanty,20,10,,",,0:28",tour-down-under/2023/stage-3,,,,,
419,6,17,+1:03,46,,TESFATSION NatnaelTrek - Segafredo,23,Trek - Segafredo,15,7,,",,0:28",tour-down-under/2023/stage-3,,,,,
420,7,8,+0:58,47,,TIBERI AntonioTrek - Segafredo,21,Trek - Segafredo,10,4,,",,0:28",tour-down-under/2023/stage-3,,,,,
421,8,15,+1:03,115,,VADER MilanJumbo-Visma,26,Jumbo-Visma,8,3,,",,0:28",tour-down-under/2023/stage-3,,,,,
422,9,9,+1:00,11,,O'CONNOR BenAG2R Citroën Team,27,AG2R Citroën Team,5,2,,",,0:28",tour-down-under/2023/stage-3,,,,,
423,10,6,+0:50,92,,HAYTER EthanINEOS Grenadiers,24,INEOS Grenadiers,2,1,,",,0:28",tour-down-under/2023/stage-3,,,,,
424,11,10,+1:01,121,,IZAGIRRE GorkaMovistar Team,35,Movistar Team,,,,",,0:28",tour-down-under/2023/stage-3,,,,,
425,12,12,+1:01,176,,SCHACHMANN MaximilianBORA - hansgrohe,29,BORA - hansgrohe,,,,",,0:28",tour-down-under/2023/stage-3,,,,,
426,13,30,+1:18,131,,HAMILTON ChrisTeam DSM,27,Team DSM,,,,",,0:28",tour-down-under/2023/stage-3,,,,,
427,14,20,+1:05,186,,BERWICK SebastianIsrael - Premier Tech,23,Israel - Premier Tech,,,,",,0:28",tour-down-under/2023/stage-3,,,,,
428,15,25,+1:08,142,,BENNETT GeorgeUAE Team Emirates,32,UAE Team Emirates,,,,",,0:28",tour-down-under/2023/stage-3,,,,,
429,16,49,+3:07,4,,HAMILTON LucasTeam Jayco AlUla,26,Team Jayco AlUla,,,,",,0:28",tour-down-under/2023/stage-3,,,,,
430,17,19,+1:04,55,,LAFAY VictorCofidis,27,Cofidis,,,,",,0:28",tour-down-under/2023/stage-3,,,,,
431,18,18,+1:04,87,,MOLARD RudyGroupama - FDJ,33,Groupama - FDJ,,,,",,0:28",tour-down-under/2023/stage-3,,,,,
432,19,28,+1:11,171,,HINDLEY JaiBORA - hansgrohe,26,BORA - hansgrohe,,,,",,0:28",tour-down-under/2023/stage-3,,,,,
433,20,11,+1:01,143,,HIRSCHI MarcUAE Team Emirates,24,UAE Team Emirates,,,,",,0:28",tour-down-under/2023/stage-3,,,,,
434,21,31,+1:22,81,,STORER MichaelGroupama - FDJ,25,Groupama - FDJ,,,,",,0:28",tour-down-under/2023/stage-3,,,,,
435,22,5,+0:46,65,,SCHMID MauroSoudal - Quick Step,23,Soudal - Quick Step,,,,0:320:32,tour-down-under/2023/stage-3,,,,,
436,23,22,+1:06,61,,CATTANEO MattiaSoudal - Quick Step,32,Soudal - Quick Step,,,,",,0:32",tour-down-under/2023/stage-3,,,,,
437,24,4,+0:45,96,,SHEFFIELD MagnusINEOS Grenadiers,20,INEOS Grenadiers,,,,",,0:32",tour-down-under/2023/stage-3,,,,,
438,25,29,+1:17,21,,SÁNCHEZ Luis LeónAstana Qazaqstan Team,39,Astana Qazaqstan Team,,,,",,0:32",tour-down-under/2023/stage-3,,,,,
439,26,23,+1:07,41,,GALLOPIN TonyTrek - Segafredo,34,Trek - Segafredo,,,,",,0:32",tour-down-under/2023/stage-3,,,,,
440,27,27,+1:11,51,,COQUARD BryanCofidis,30,Cofidis,,,,",,0:32",tour-down-under/2023/stage-3,,,,,
441,28,14,+1:02,63,,DEVENYNS DriesSoudal - Quick Step,39,Soudal - Quick Step,,,,",,0:32",tour-down-under/2023/stage-3,,,,,
442,29,48,+3:02,132,,DINHAM MatthewTeam DSM,22,Team DSM,,,,",,0:32",tour-down-under/2023/stage-3,,,,,
443,30,24,+1:08,32,,ARNDT NikiasBahrain - Victorious,31,Bahrain - Victorious,,,,0:480:48,tour-down-under/2023/stage-3,,,,,
444,31,13,+1:02,71,,GROVES KadenAlpecin-Deceuninck,24,Alpecin-Deceuninck,,,2″,",,0:482″",tour-down-under/2023/stage-3,,,,,
445,32,35,+1:32,86,,PENHOËT PaulGroupama - FDJ,21,Groupama - FDJ,,,,",,0:48",tour-down-under/2023/stage-3,,,,,
446,33,82,+8:45,107,,SMITH DionIntermarché - Circus - Wanty,29,Intermarché - Circus - Wanty,,,,",,0:48",tour-down-under/2023/stage-3,,,,,
447,34,16,+1:03,103,,PAGE HugoIntermarché - Circus - Wanty,21,Intermarché - Circus - Wanty,,,,",,0:48",tour-down-under/2023/stage-3,,,,,
448,35,36,+1:34,44,,HELLEMOSE AsbjørnTrek - Segafredo,24,Trek - Segafredo,,,,",,0:48",tour-down-under/2023/stage-3,,,,,
449,36,40,+1:45,12,,BAUDIN AlexAG2R Citroën Team,21,AG2R Citroën Team,,,,",,0:48",tour-down-under/2023/stage-3,,,,,
450,37,51,+3:32,157,,VERRE AlessandroTeam Arkéa Samsic,21,Team Arkéa Samsic,,,,",,0:48",tour-down-under/2023/stage-3,,,,,
451,38,21,+1:06,136,,MAYRHOFER MariusTeam DSM,22,Team DSM,,,,",,0:48",tour-down-under/2023/stage-3,,,,,
452,39,34,+1:32,177,,ALEOTTI GiovanniBORA - hansgrohe,23,BORA - hansgrohe,,,,",,0:48",tour-down-under/2023/stage-3,,,,,
453,40,32,+1:23,73,,STANNARD RobertAlpecin-Deceuninck,24,Alpecin-Deceuninck,,,,",,0:48",tour-down-under/2023/stage-3,,,,,
454,41,37,+1:39,153,,GESBERT ÉlieTeam Arkéa Samsic,27,Team Arkéa Samsic,,,,",,0:48",tour-down-under/2023/stage-3,,,,,
455,42,26,+1:11,187,,GEE DerekIsrael - Premier Tech,25,Israel - Premier Tech,,,,",,0:48",tour-down-under/2023/stage-3,,,,,
456,43,84,+8:58,126,,MAS LluísMovistar Team,33,Movistar Team,,,,",,0:48",tour-down-under/2023/stage-3,,,,,
457,44,56,+4:28,35,,PERNSTEINER HermannBahrain - Victorious,32,Bahrain - Victorious,,,,0:510:51,tour-down-under/2023/stage-3,,,,,
458,45,54,+4:07,147,,FISHER-BLACK FinnUAE Team Emirates,21,UAE Team Emirates,,,,",,0:51",tour-down-under/2023/stage-3,,,,,
459,46,38,+1:44,84,,THOMPSON ReubenGroupama - FDJ,21,Groupama - FDJ,,,,0:580:58,tour-down-under/2023/stage-3,,,,,
460,47,33,+1:25,111,,DENNIS RohanJumbo-Visma,32,Jumbo-Visma,,,,1:241:24,tour-down-under/2023/stage-3,,,,,
461,48,39,+1:45,82,,SCOTSON MilesGroupama - FDJ,29,Groupama - FDJ,,,,",,1:24",tour-down-under/2023/stage-3,,,,,
462,49,90,+9:43,152,,LE BERRE MathisTeam Arkéa Samsic,21,Team Arkéa Samsic,,,,",,1:24",tour-down-under/2023/stage-3,,,,,
463,50,43,+1:53,93,,HAYTER LeoINEOS Grenadiers,21,INEOS Grenadiers,,,,",,1:24",tour-down-under/2023/stage-3,,,,,
464,51,42,+1:52,13,,GODON DorianAG2R Citroën Team,26,AG2R Citroën Team,,,,",,1:24",tour-down-under/2023/stage-3,,,,,
465,52,41,+1:50,77,,GOGL MichaelAlpecin-Deceuninck,29,Alpecin-Deceuninck,,,,",,1:24",tour-down-under/2023/stage-3,,,,,
466,53,52,+3:46,155,,LEDANOIS KévinTeam Arkéa Samsic,29,Team Arkéa Samsic,,,,",,1:24",tour-down-under/2023/stage-3,,,,,
467,54,47,+2:44,15,,PETERS NansAG2R Citroën Team,28,AG2R Citroën Team,,,,1:461:46,tour-down-under/2023/stage-3,,,,,
468,55,45,+2:39,52,,BIDARD FrançoisCofidis,30,Cofidis,,,,",,1:46",tour-down-under/2023/stage-3,,,,,
469,56,57,+4:32,124,,ROMEO IvánMovistar Team,19,Movistar Team,,,,",,1:46",tour-down-under/2023/stage-3,,,,,
470,57,55,+4:28,151,,COSTIOU EwenTeam Arkéa Samsic,20,Team Arkéa Samsic,,,,",,1:46",tour-down-under/2023/stage-3,,,,,
471,58,58,+4:44,37,,SÜTTERLIN JashaBahrain - Victorious,30,Bahrain - Victorious,,,,2:062:06,tour-down-under/2023/stage-3,,,,,
472,59,60,+4:57,165,,RUTSCH JonasEF Education-EasyPost,24,EF Education-EasyPost,,,,",,2:06",tour-down-under/2023/stage-3,,,,,
473,60,76,+7:47,134,,COMBAUD RomainTeam DSM,31,Team DSM,,,,",,2:06",tour-down-under/2023/stage-3,,,,,
474,61,75,+7:40,164,,QUINN SeanEF Education-EasyPost,22,EF Education-EasyPost,,,,2:082:08,tour-down-under/2023/stage-3,,,,,
475,62,59,+4:57,122,,ERVITI ImanolMovistar Team,39,Movistar Team,,,,",,2:08",tour-down-under/2023/stage-3,,,,,
476,63,95,+10:16,123,,JACOBS JohanMovistar Team,25,Movistar Team,,,,",,2:08",tour-down-under/2023/stage-3,,,,,
477,64,97,+10:23,54,,CARVALHO AndreCofidis,25,Cofidis,,,,",,2:08",tour-down-under/2023/stage-3,,,,,
478,65,46,+2:44,95,,PLAPP LukeINEOS Grenadiers,22,INEOS Grenadiers,,,,2:192:19,tour-down-under/2023/stage-3,,,,,
479,66,50,+3:30,184,,STRONG CorbinIsrael - Premier Tech,22,Israel - Premier Tech,,,,3:153:15,tour-down-under/2023/stage-3,,,,,
480,67,104,+11:57,25,,GRUZDEV DmitriyAstana Qazaqstan Team,36,Astana Qazaqstan Team,,,,3:293:29,tour-down-under/2023/stage-3,,,,,
481,68,69,+6:33,163,,KEUKELEIRE JensEF Education-EasyPost,34,EF Education-EasyPost,,,,",,3:29",tour-down-under/2023/stage-3,,,,,
482,69,53,+3:52,83,,GERMANI LorenzoGroupama - FDJ,20,Groupama - FDJ,,,,",,3:29",tour-down-under/2023/stage-3,,,,,
483,70,66,+6:17,146,,VINK MichaelUAE Team Emirates,31,UAE Team Emirates,,,,3:533:53,tour-down-under/2023/stage-3,,,,,
484,71,61,+5:04,145,,COVI AlessandroUAE Team Emirates,24,UAE Team Emirates,,,,",,3:53",tour-down-under/2023/stage-3,,,,,
485,72,107,+12:09,154,,HOFSTETTER HugoTeam Arkéa Samsic,28,Team Arkéa Samsic,,,,",,3:53",tour-down-under/2023/stage-3,,,,,
486,73,70,+6:59,106,,VAN POPPEL BoyIntermarché - Circus - Wanty,35,Intermarché - Circus - Wanty,,,,",,3:53",tour-down-under/2023/stage-3,,,,,
487,74,106,+12:03,137,,TUSVELD MartijnTeam DSM,29,Team DSM,,,,",,3:53",tour-down-under/2023/stage-3,,,,,
488,75,64,+6:11,74,,GAZE SamuelAlpecin-Deceuninck,27,Alpecin-Deceuninck,,,,",,3:53",tour-down-under/2023/stage-3,,,,,
489,76,105,+12:01,22,,BOARO ManueleAstana Qazaqstan Team,35,Astana Qazaqstan Team,,,,",,3:53",tour-down-under/2023/stage-3,,,,,
490,77,103,+11:52,117,,VAN EMDEN JosJumbo-Visma,37,Jumbo-Visma,,,,",,3:53",tour-down-under/2023/stage-3,,,,,
491,78,63,+5:59,161,,BETTIOL AlbertoEF Education-EasyPost,29,EF Education-EasyPost,,,,",,3:53",tour-down-under/2023/stage-3,,,,,
492,79,67,+6:27,14,,LAPEIRA PaulAG2R Citroën Team,22,AG2R Citroën Team,,,,",,3:53",tour-down-under/2023/stage-3,,,,,
493,80,62,+5:27,17,,TOUZÉ DamienAG2R Citroën Team,26,AG2R Citroën Team,,,,4:334:33,tour-down-under/2023/stage-3,,,,,
494,81,65,+6:11,62,,VAN TRICHT StanSoudal - Quick Step,23,Soudal - Quick Step,,,,",,4:33",tour-down-under/2023/stage-3,,,,,
495,82,72,+7:21,16,,SCHÄR MichaelAG2R Citroën Team,36,AG2R Citroën Team,,,,",,4:33",tour-down-under/2023/stage-3,,,,,
496,83,108,+12:47,66,,STEIMLE JannikSoudal - Quick Step,26,Soudal - Quick Step,,,,5:005:00,tour-down-under/2023/stage-3,,,,,
497,84,78,+8:01,116,,VAN DIJKE TimJumbo-Visma,22,Jumbo-Visma,,,,",,5:00",tour-down-under/2023/stage-3,,,,,
498,85,73,+7:32,114,,ROOSEN TimoJumbo-Visma,30,Jumbo-Visma,,,,",,5:00",tour-down-under/2023/stage-3,,,,,
499,86,77,+7:56,67,,SVRČEK MartinSoudal - Quick Step,19,Soudal - Quick Step,,,,",,5:00",tour-down-under/2023/stage-3,,,,,
500,87,71,+7:17,102,,JOHANSEN JuliusIntermarché - Circus - Wanty,23,Intermarché - Circus - Wanty,,,,",,5:00",tour-down-under/2023/stage-3,,,,,
501,88,109,+13:12,72,,PLOWRIGHT JensenAlpecin-Deceuninck,22,Alpecin-Deceuninck,,,,",,5:00",tour-down-under/2023/stage-3,,,,,
502,89,111,+14:22,125,,SAMITIER SergioMovistar Team,27,Movistar Team,,,,5:155:15,tour-down-under/2023/stage-3,,,,,
503,90,126,+20:19,167,,WIŚNIOWSKI ŁukaszEF Education-EasyPost,31,EF Education-EasyPost,,,,5:165:16,tour-down-under/2023/stage-3,,,,,
504,91,128,+20:39,166,,SCULLY TomEF Education-EasyPost,33,EF Education-EasyPost,,,,",,5:16",tour-down-under/2023/stage-3,,,,,
505,92,110,+14:10,56,,RENARD AlexisCofidis,23,Cofidis,,,,",,5:16",tour-down-under/2023/stage-3,,,,,
506,93,68,+6:29,172,,HALLER MarcoBORA - hansgrohe,31,BORA - hansgrohe,,,,5:555:55,tour-down-under/2023/stage-3,,,,,
507,94,81,+8:31,85,,PITHIE LaurenceGroupama - FDJ,20,Groupama - FDJ,,,,",,5:55",tour-down-under/2023/stage-3,,,,,
508,95,85,+9:01,174,,LÜHRS Luis-JoeBORA - hansgrohe,20,BORA - hansgrohe,,,,",,5:55",tour-down-under/2023/stage-3,,,,,
509,96,83,+8:50,156,,OWSIAN ŁukaszTeam Arkéa Samsic,32,Team Arkéa Samsic,,,,",,5:55",tour-down-under/2023/stage-3,,,,,
510,97,89,+9:42,162,,HONORÉ Mikkel FrølichEF Education-EasyPost,25,EF Education-EasyPost,,,4″,6:216:214″,tour-down-under/2023/stage-3,,,,,
511,98,114,+14:45,94,,HEIDUK KimINEOS Grenadiers,22,INEOS Grenadiers,,,,6:406:40,tour-down-under/2023/stage-3,,,,,
512,99,74,+7:36,45,,LIEPIŅŠ EmīlsTrek - Segafredo,30,Trek - Segafredo,,,,",,6:40",tour-down-under/2023/stage-3,,,,,
513,100,87,+9:12,5,,HEPBURN MichaelTeam Jayco AlUla,31,Team Jayco AlUla,,,,6:436:43,tour-down-under/2023/stage-3,,,,,
514,101,86,+9:05,43,,BRUSTENGA MarcTrek - Segafredo,23,Trek - Segafredo,,,,",,6:43",tour-down-under/2023/stage-3,,,,,
515,102,123,+18:29,3,,DURBRIDGE LukeTeam Jayco AlUla,31,Team Jayco AlUla,,,,",,6:43",tour-down-under/2023/stage-3,,,,,
516,103,88,+9:25,182,,IMPEY DarylIsrael - Premier Tech,38,Israel - Premier Tech,,,,",,6:43",tour-down-under/2023/stage-3,,,,,
517,104,116,+14:51,183,,CLARKE SimonIsrael - Premier Tech,36,Israel - Premier Tech,,,,",,6:43",tour-down-under/2023/stage-3,,,,,
518,105,80,+8:27,113,,HOFSTEDE LennardJumbo-Visma,28,Jumbo-Visma,,,,7:237:23,tour-down-under/2023/stage-3,,,,,
519,106,98,+10:23,135,,NABERMAN TimTeam DSM,23,Team DSM,,,,",,7:23",tour-down-under/2023/stage-3,,,,,
520,107,92,+10:11,197,,WALSH LiamUniSA-Australia,21,UniSA-Australia,,,,7:337:33,tour-down-under/2023/stage-3,,,,,
521,108,102,+11:45,91,,THOMAS GeraintINEOS Grenadiers,36,INEOS Grenadiers,,,,",,7:33",tour-down-under/2023/stage-3,,,,,
522,109,118,+15:47,75,,LEYSEN SenneAlpecin-Deceuninck,26,Alpecin-Deceuninck,,,,",,7:33",tour-down-under/2023/stage-3,,,,,
523,110,100,+10:37,33,,BAUHAUS PhilBahrain - Victorious,28,Bahrain - Victorious,,,,",,7:33",tour-down-under/2023/stage-3,,,,,
524,111,91,+10:07,42,,BARONCINI FilippoTrek - Segafredo,22,Trek - Segafredo,,,,",,7:33",tour-down-under/2023/stage-3,,,,,
525,112,117,+15:22,192,,DRIZNERS JarradUniSA-Australia,23,UniSA-Australia,,,,",,7:33",tour-down-under/2023/stage-3,,,,,
526,113,99,+10:25,7,,STEWART CampbellTeam Jayco AlUla,24,Team Jayco AlUla,,,,",,7:33",tour-down-under/2023/stage-3,,,,,
527,114,101,+11:17,76,,RIESEBEEK OscarAlpecin-Deceuninck,30,Alpecin-Deceuninck,,,,",,7:33",tour-down-under/2023/stage-3,,,,,
528,115,120,+15:56,34,,GRADEK KamilBahrain - Victorious,32,Bahrain - Victorious,,,,",,7:33",tour-down-under/2023/stage-3,,,,,
529,116,96,+10:19,97,,SWIFT BenINEOS Grenadiers,35,INEOS Grenadiers,,,,",,7:33",tour-down-under/2023/stage-3,,,,,
530,117,119,+15:52,195,,MARRIAGE ZacUniSA-Australia,19,UniSA-Australia,,,,",,7:33",tour-down-under/2023/stage-3,,,,,
531,118,93,+10:11,144,,BAX SjoerdUAE Team Emirates,27,UAE Team Emirates,,,,",,7:33",tour-down-under/2023/stage-3,,,,,
532,119,121,+16:07,104,,THIJSSEN GerbenIntermarché - Circus - Wanty,24,Intermarché - Circus - Wanty,,,,",,7:33",tour-down-under/2023/stage-3,,,,,
533,120,79,+8:21,191,,EWAN CalebUniSA-Australia,28,UniSA-Australia,,,,",,7:33",tour-down-under/2023/stage-3,,,,,
534,121,94,+10:16,24,,FELLINE FabioAstana Qazaqstan Team,32,Astana Qazaqstan Team,,,6″,",,7:336″",tour-down-under/2023/stage-3,,,,,
535,122,122,+16:59,53,,CIMOLAI DavideCofidis,33,Cofidis,,,,",,7:33",tour-down-under/2023/stage-3,,,,,
536,123,130,+21:52,36,,SCOTT CameronBahrain - Victorious,25,Bahrain - Victorious,,,,10:5710:57,tour-down-under/2023/stage-3,,,,,
537,124,129,+21:36,105,,VAN DER HOORN TacoIntermarché - Circus - Wanty,29,Intermarché - Circus - Wanty,,,,11:3011:30,tour-down-under/2023/stage-3,,,,,
538,125,127,+20:24,181,,FROOME ChrisIsrael - Premier Tech,37,Israel - Premier Tech,,,,11:5311:53,tour-down-under/2023/stage-3,,,,,
539,126,124,+20:10,26,,LAAS MartinAstana Qazaqstan Team,29,Astana Qazaqstan Team,,,,",,11:53",tour-down-under/2023/stage-3,,,,,
540,127,125,+20:16,23,,BASSO LeonardoAstana Qazaqstan Team,29,Astana Qazaqstan Team,,,,",,11:53",tour-down-under/2023/stage-3,,,,,
541,128,113,+14:35,173,,ARCHBOLD ShaneBORA - hansgrohe,33,BORA - hansgrohe,,,,",,11:53",tour-down-under/2023/stage-3,,,,,
542,129,112,+14:30,185,,JONES TajIsrael - Premier Tech,22,Israel - Premier Tech,,,,",,11:53",tour-down-under/2023/stage-3,,,,,
543,130,115,+14:45,57,,WOOD HarrisonCofidis,22,Cofidis,,,,11:5611:56,tour-down-under/2023/stage-3,,,,,
544,DNF,,,27,,MOSCON GianniAstana Qazaqstan Team,28,Astana Qazaqstan Team,,,,-,tour-down-under/2023/stage-3,,,,,
545,1,8,+1:11,146,,RUBIO Einer AugustoMovistar Team,25,Movistar Team,40,50,10″,4:51:2410″,uae-tour/2023/stage-3,,,,,
546,2,1,+0:00,1,,EVENEPOEL RemcoSoudal - Quick Step,23,Soudal - Quick Step,25,30,6″,0:140:146″,uae-tour/2023/stage-3,,,,,
