,Rnk,GC,Timelag,BIB,H2H,Rider,Age,Team,UCI,Pnt,,Time,race_code,Pos.,Timegap,Speed,PCS points,UCI points
118,119,123,+2:05,91,,THOMAS GeraintINEOS Grenadiers,36,INEOS Grenadiers,,,,1:201:20,tour-down-under/2023/stage-1,,,,,
119,120,30,+0:24,93,,HAYTER LeoINEOS Grenadiers,21,INEOS Grenadiers,,,,0:000:00,tour-down-under/2023/stage-1,,,,,
120,121,3,+0:08,96,,SHEFFIELD MagnusINEOS Grenadiers,20,INEOS Grenadiers,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
121,122,90,+0:44,171,,HINDLEY JaiBORA - hansgrohe,26,BORA - hansgrohe,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
122,123,125,+2:32,105,,VAN DER HOORN TacoIntermarché - Circus - Wanty,29,Intermarché - Circus - Wanty,,,,1:531:53,tour-down-under/2023/stage-1,,,,,
123,124,53,+0:31,197,,WALSH LiamUniSA-Australia,21,UniSA-Australia,,,,0:000:00,tour-down-under/2023/stage-1,,,,,
124,125,128,+3:34,134,,COMBAUD RomainTeam DSM,31,Team DSM,,,,2:432:43,tour-down-under/2023/stage-1,,,,,
125,126,126,+3:21,36,,SCOTT CameronBahrain - Victorious,25,Bahrain - Victorious,,,,2:492:49,tour-down-under/2023/stage-1,,,,,
126,127,84,+0:42,175,,MEEUS JordiBORA - hansgrohe,24,BORA - hansgrohe,,,,0:000:00,tour-down-under/2023/stage-1,,,,,
127,128,21,+0:19,6,,HARPER ChrisTeam Jayco AlUla,28,Team Jayco AlUla,,,,",,0:00",tour-down-under/2023/stage-1,,,,,
128,129,129,+4:12,3,,DURBRIDGE LukeTeam Jayco AlUla,31,Team Jayco AlUla,,,,3:193:19,tour-down-under/2023/stage-1,,,,,
129,130,130,+5:42,192,,DRIZNERS JarradUniSA-Australia,23,UniSA-Australia,,,,5:075:07,tour-down-under/2023/stage-1,,,,,
130,131,131,+6:16,34,,GRADEK KamilBahrain - Victorious,32,Bahrain - Victorious,,,,5:215:21,tour-down-under/2023/stage-1,,,,,
131,132,133,+7:49,166,,SCULLY TomEF Education-EasyPost,33,EF Education-EasyPost,,,,6:546:54,tour-down-under/2023/stage-1,,,,,
132,133,132,+7:29,167,,WIŚNIOWSKI ŁukaszEF Education-EasyPost,31,EF Education-EasyPost,,,,",,6:54",tour-down-under/2023/stage-1,,,,,
133,134,134,+9:03,194,,LEAHY ConorUniSA-Australia,23,UniSA-Australia,,,,8:278:27,tour-down-under/2023/stage-1,,,,,
134,135,135,+20:56,196,,MORIARTY JamesUniSA-Australia,21,UniSA-Australia,,,,20:3720:37,tour-down-under/2023/stage-1,,,,,
135,136,136,+24:28,193,,FRISLIE GraemeUniSA-Australia,21,UniSA-Australia,,,,23:5923:59,tour-down-under/2023/stage-1,,,,,
136,DNF,,,133,,BEVIN PatrickTeam DSM,31,Team DSM,,,,-,tour-down-under/2023/stage-1,,,,,
137,DNF,,,112,,GESINK RobertJumbo-Visma,36,Jumbo-Visma,,,,-,tour-down-under/2023/stage-1,,,,,
138,1,1,+0:00,3,,MERLIER TimSoudal - Quick Step,30,Soudal - Quick Step,40,50,10″,3:17:3510″,uae-tour/2023/stage-1,,,,,
139,2,2,+0:04,131,,EWAN CalebLotto Dstny,28,Lotto Dstny,25,30,6″,",,0:006″",uae-tour/2023/stage-1,,,,,
140,3,4,+0:06,31,,CAVENDISH MarkAstana Qazaqstan Team,37,Astana Qazaqstan Team,20,18,4″,",,0:004″",uae-tour/2023/stage-1,,,,,
141,4,8,+0:10,125,,KOOIJ OlavJumbo-Visma,21,Jumbo-Visma,15,13,,",,0:00",uae-tour/2023/stage-1,,,,,
142,5,5,+0:07,42,,ARNDT NikiasBahrain - Victorious,31,Bahrain - Victorious,10,10,3″,",,0:003″",uae-tour/2023/stage-1,,,,,
143,6,9,+0:10,47,,BAUHAUS PhilBahrain - Victorious,28,Bahrain - Victorious,8,7,,",,0:00",uae-tour/2023/stage-1,,,,,
144,7,3,+0:05,93,,PLAPP LukeINEOS Grenadiers,22,INEOS Grenadiers,6,4,5″,",,0:005″",uae-tour/2023/stage-1,,,,,
145,8,6,+0:08,1,,EVENEPOEL RemcoSoudal - Quick Step,23,Soudal - Quick Step,3,3,2″,",,0:002″",uae-tour/2023/stage-1,,,,,
146,9,7,+0:08,41,,BILBAO PelloBahrain - Victorious,32,Bahrain - Victorious,2,2,2″,",,0:002″",uae-tour/2023/stage-1,,,,,
147,10,10,+0:10,32,,BOL CeesAstana Qazaqstan Team,27,Astana Qazaqstan Team,1,1,,",,0:00",uae-tour/2023/stage-1,,,,,
148,11,11,+0:10,6,,VAN LERBERGHE BertSoudal - Quick Step,30,Soudal - Quick Step,,,,",,0:00",uae-tour/2023/stage-1,,,,,
149,12,12,+0:20,133,,DRIZNERS JarradLotto Dstny,23,Lotto Dstny,,,,0:100:10,uae-tour/2023/stage-1,,,,,
150,13,13,+1:01,51,,BENNETT SamBORA - hansgrohe,32,BORA - hansgrohe,,,,0:510:51,uae-tour/2023/stage-1,,,,,
151,14,14,+1:01,181,,DE KLEIJN ArvidTudor Pro Cycling Team,28,Tudor Pro Cycling Team,,,,",,0:51",uae-tour/2023/stage-1,,,,,
152,15,15,+1:01,56,,VAN POPPEL DannyBORA - hansgrohe,29,BORA - hansgrohe,,,,",,0:51",uae-tour/2023/stage-1,,,,,
153,16,16,+1:01,157,,WELSFORD SamTeam DSM,27,Team DSM,,,,",,0:51",uae-tour/2023/stage-1,,,,,
154,17,17,+1:01,176,,LIEPIŅŠ EmīlsTrek - Segafredo,30,Trek - Segafredo,,,,",,0:51",uae-tour/2023/stage-1,,,,,
155,18,18,+1:01,161,,GROENEWEGEN DylanTeam Jayco AlUla,29,Team Jayco AlUla,,,,",,0:51",uae-tour/2023/stage-1,,,,,
156,19,19,+1:01,136,,SELIG RüdigerLotto Dstny,34,Lotto Dstny,,,,",,0:51",uae-tour/2023/stage-1,,,,,
157,20,20,+1:01,91,,VIVIANI EliaINEOS Grenadiers,34,INEOS Grenadiers,,,,",,0:51",uae-tour/2023/stage-1,,,,,
158,21,21,+1:01,66,,VAN DEN BERG MarijnEF Education-EasyPost,23,EF Education-EasyPost,,,,",,0:51",uae-tour/2023/stage-1,,,,,
159,22,22,+1:01,106,,THIJSSEN GerbenIntermarché - Circus - Wanty,24,Intermarché - Circus - Wanty,,,,",,0:51",uae-tour/2023/stage-1,,,,,
160,23,23,+1:01,26,,PLOWRIGHT JensenAlpecin-Deceuninck,22,Alpecin-Deceuninck,,,,",,0:51",uae-tour/2023/stage-1,,,,,
161,24,24,+1:01,112,,EINHORN ItamarIsrael - Premier Tech,25,Israel - Premier Tech,,,,",,0:51",uae-tour/2023/stage-1,,,,,
162,25,25,+1:01,76,,ZANONCELLO EnricoGreen Project-Bardiani CSF-Faizanè,25,Green Project-Bardiani CSF-Faizanè,,,,",,0:51",uae-tour/2023/stage-1,,,,,
163,26,26,+1:01,147,,TORRES AlbertMovistar Team,32,Movistar Team,,,,",,0:51",uae-tour/2023/stage-1,,,,,
164,27,27,+1:01,164,,MEZGEC LukaTeam Jayco AlUla,34,Team Jayco AlUla,,,,",,0:51",uae-tour/2023/stage-1,,,,,
165,28,28,+1:01,43,,GOVEKAR MatevžBahrain - Victorious,22,Bahrain - Victorious,,,,",,0:51",uae-tour/2023/stage-1,,,,,
166,29,29,+1:01,81,,DÉMARE ArnaudGroupama - FDJ,31,Groupama - FDJ,,,,",,0:51",uae-tour/2023/stage-1,,,,,
167,30,30,+1:01,141,,GAVIRIA FernandoMovistar Team,28,Movistar Team,,,,",,0:51",uae-tour/2023/stage-1,,,,,
168,31,31,+1:01,92,,HEIDUK KimINEOS Grenadiers,22,INEOS Grenadiers,,,,",,0:51",uae-tour/2023/stage-1,,,,,
169,32,32,+1:01,156,,VANHOUCKE HarmTeam DSM,25,Team DSM,,,,",,0:51",uae-tour/2023/stage-1,,,,,
170,33,33,+1:01,71,,COLNAGHI LucaGreen Project-Bardiani CSF-Faizanè,24,Green Project-Bardiani CSF-Faizanè,,,,",,0:51",uae-tour/2023/stage-1,,,,,
171,34,34,+1:01,57,,ZWIEHOFF BenBORA - hansgrohe,28,BORA - hansgrohe,,,,",,0:51",uae-tour/2023/stage-1,,,,,
172,35,35,+1:01,17,,WARBASSE LarryAG2R Citroën Team,32,AG2R Citroën Team,,,,",,0:51",uae-tour/2023/stage-1,,,,,
173,36,36,+1:01,94,,SWIFT BenINEOS Grenadiers,35,INEOS Grenadiers,,,,",,0:51",uae-tour/2023/stage-1,,,,,
174,37,37,+1:01,167,,SCOTSON CallumTeam Jayco AlUla,26,Team Jayco AlUla,,,,",,0:51",uae-tour/2023/stage-1,,,,,
175,38,38,+1:01,96,,TULETT BenINEOS Grenadiers,21,INEOS Grenadiers,,,,",,0:51",uae-tour/2023/stage-1,,,,,
176,39,39,+1:01,153,,EDMONDSON AlexTeam DSM,29,Team DSM,,,,",,0:51",uae-tour/2023/stage-1,,,,,
177,40,40,+1:01,13,,BERTHET ClémentAG2R Citroën Team,25,AG2R Citroën Team,,,,",,0:51",uae-tour/2023/stage-1,,,,,
178,41,41,+1:01,146,,RUBIO Einer AugustoMovistar Team,24,Movistar Team,,,,",,0:51",uae-tour/2023/stage-1,,,,,
179,42,42,+1:01,64,,DE BOD StefanEF Education-EasyPost,26,EF Education-EasyPost,,,,",,0:51",uae-tour/2023/stage-1,,,,,
180,43,43,+1:01,173,,BRUSTENGA MarcTrek - Segafredo,23,Trek - Segafredo,,,,",,0:51",uae-tour/2023/stage-1,,,,,
