,fullname,team,team_code,country,height,weight,birthplace,rider_code,age,nb_race_flat,nb_win_flat,nb_pod_flat,nb_top10_flat,pts_flat,avg_rnk_flat,pct_win_flat,pct_pod_flat,pct_top10_flat,avg_pts_flat,nb_race_climb,nb_win_climb,nb_pod_climb,nb_top10_climb,pts_climb,avg_rnk_climb,pct_win_climb,pct_pod_climb,pct_top10_climb,avg_pts_climb,nb_race_time_trial,nb_win_time_trial,nb_pod_time_trial,nb_top10_time_trial,pts_time_trial,avg_rnk_time_trial,pct_win_time_trial,pct_pod_time_trial,pct_top10_time_trial,avg_pts_time_trial,nb_gc_finished,nb_win_gc,nb_pod_gc,nb_top10_gc,pts_gc,pct_win_gc,pct_pod_gc,pct_top10_gc,avg_pts_gc,nb_race_one_day,nb_win_one_day,nb_pod_one_day,nb_top10_one_day,pts_one_day,avg_rnk_one_day,pct_win_one_day,pct_pod_one_day,pct_top10_one_day,avg_pts_one_day,nb_dnf_otl,pct_dnf_otl,group
244,michael  mørkøv ,soudal - quick step,soudal-quick-step-2023,denmark,1.83,71.0,kokkedal,michael-morkov,37.0,75.0,0.0,3.0,11.0,467.0,45.72602739726028,0.0,0.04,0.1466666666666666,6.226666666666667,112.0,0.0,0.0,2.0,141.0,115.73148148148148,0.0,0.0,0.0178571428571428,1.2589285714285714,15.0,0.0,0.0,0.0,0.0,85.66666666666667,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,9.666666666666666,25.0,0.0,1.0,6.0,456.0,29.545454545454547,0.0,0.04,0.24,18.24,4.0,0.0198019801980198,2
245,fausto  masnada ,soudal - quick step,soudal-quick-step-2023,italy,1.82,65.0,bergamo,fausto-masnada,29.0,23.0,0.0,0.0,1.0,1.0,65.0,0.0,0.0,0.0434782608695652,0.0434782608695652,90.0,1.0,4.0,11.0,534.0,42.03409090909091,0.0111111111111111,0.0444444444444444,0.1222222222222222,5.933333333333334,12.0,0.0,0.0,1.0,7.0,37.833333333333336,0.0,0.0,0.0833333333333333,0.5833333333333334,7.0,0.0,1.0,2.0,389.0,0.0,0.1428571428571428,0.2857142857142857,55.57142857142857,17.0,0.0,2.0,3.0,341.0,38.47058823529412,0.0,0.1176470588235294,0.1764705882352941,20.058823529411764,2.0,0.016,0
246,mattia  cattaneo ,soudal - quick step,soudal-quick-step-2023,italy,1.84,67.0,alzano lombardo,mattia-cattaneo,32.0,32.0,0.0,0.0,0.0,0.0,74.03225806451613,0.0,0.0,0.0,0.0,107.0,0.0,4.0,10.0,355.0,52.142857142857146,0.0,0.0373831775700934,0.0934579439252336,3.317757009345794,16.0,0.0,1.0,10.0,139.0,14.25,0.0,0.0625,0.625,8.6875,12.0,0.0,0.0,2.0,576.0,0.0,0.0,0.1666666666666666,48.0,22.0,0.0,1.0,1.0,124.0,60.84615384615385,0.0,0.0454545454545454,0.0454545454545454,5.636363636363637,10.0,0.064516129032258,0
247,pieter  serry ,soudal - quick step,soudal-quick-step-2023,belgium,1.86,66.0,aalter,pieter-serry,34.0,41.0,0.0,0.0,0.0,0.0,111.66666666666669,0.0,0.0,0.0,0.0,119.0,0.0,0.0,4.0,184.0,76.14851485148515,0.0,0.0,0.0336134453781512,1.546218487394958,11.0,0.0,0.0,0.0,0.0,56.27272727272727,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,10.625,47.0,0.0,0.0,1.0,150.0,61.6,0.0,0.0,0.0212765957446808,3.191489361702128,18.0,0.1052631578947368,2
248,jan  hirt ,soudal - quick step,soudal-quick-step-2023,czech republic,1.81,62.0,třebíč,jan-hirt,32.0,50.0,0.0,0.0,0.0,0.0,108.64,0.0,0.0,0.0,0.0,150.0,1.0,3.0,9.0,251.0,70.59154929577464,0.0066666666666666,0.02,0.06,1.6733333333333331,20.0,0.0,0.0,0.0,0.0,99.05263157894736,0.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,580.0,0.0,0.0,0.1176470588235294,34.11764705882353,10.0,0.0,0.0,0.0,25.0,53.0,0.0,0.0,0.0,2.5,6.0,0.0272727272727272,2
249,davide  ballerini ,soudal - quick step,soudal-quick-step-2023,italy,1.83,77.0,cantù,davide-ballerini,28.0,51.0,1.0,4.0,13.0,593.0,42.0,0.0196078431372549,0.0784313725490196,0.2549019607843137,11.627450980392156,109.0,1.0,2.0,8.0,380.0,74.16483516483517,0.0091743119266055,0.018348623853211,0.073394495412844,3.486238532110092,11.0,0.0,0.0,0.0,0.0,65.27272727272727,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,8.88888888888889,58.0,2.0,3.0,6.0,777.0,41.32432432432432,0.0344827586206896,0.0517241379310344,0.1034482758620689,13.39655172413793,21.0,0.1228070175438596,2
250,rémi  cavagna ,soudal - quick step,soudal-quick-step-2023,france,1.86,78.0,clermont-ferrand,remi-cavagna,27.0,44.0,1.0,1.0,1.0,80.0,74.1590909090909,0.0227272727272727,0.0227272727272727,0.0227272727272727,1.818181818181818,161.0,2.0,3.0,5.0,298.0,82.22727272727273,0.0124223602484472,0.0186335403726708,0.031055900621118,1.8509316770186333,20.0,2.0,8.0,14.0,511.0,13.6,0.1,0.4,0.7,25.55,18.0,0.0,0.0,1.0,326.0,0.0,0.0,0.0555555555555555,18.11111111111111,30.0,1.0,1.0,1.0,196.0,59.458333333333336,0.0333333333333333,0.0333333333333333,0.0333333333333333,6.533333333333333,7.0,0.0311111111111111,0
251,josef  černý ,soudal - quick step,soudal-quick-step-2023,czech republic,1.88,77.0,frýdek-místek,josef-cerny,29.0,45.0,0.0,0.0,1.0,63.0,85.86046511627907,0.0,0.0,0.0222222222222222,1.4,113.0,0.0,1.0,1.0,89.0,112.23655913978494,0.0,0.0088495575221238,0.0088495575221238,0.7876106194690266,17.0,0.0,0.0,6.0,124.0,29.47058823529412,0.0,0.0,0.3529411764705882,7.294117647058823,12.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,6.25,40.0,0.0,0.0,1.0,108.0,72.8695652173913,0.0,0.0,0.025,2.7,22.0,0.1257142857142857,2
252,bert van lerberghe ,soudal - quick step,soudal-quick-step-2023,belgium,1.9,83.0,kortrijk,bert-van-lerberghe,30.0,71.0,0.0,0.0,6.0,306.0,46.32835820895522,0.0,0.0,0.0845070422535211,4.309859154929577,52.0,0.0,0.0,0.0,20.0,124.95833333333331,0.0,0.0,0.0,0.3846153846153846,7.0,0.0,0.0,0.0,0.0,110.28571428571428,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,60.0,0.0,0.0,6.0,322.0,48.34615384615385,0.0,0.0,0.1,5.366666666666666,8.0,0.0615384615384615,2
253,james  knox ,soudal - quick step,soudal-quick-step-2023,great britain,1.73,58.0,kendal,james-knox,27.0,34.0,0.0,0.0,0.0,0.0,95.17647058823528,0.0,0.0,0.0,0.0,145.0,0.0,0.0,10.0,141.0,65.86567164179104,0.0,0.0,0.0689655172413793,0.9724137931034482,17.0,0.0,0.0,0.0,1.0,53.70588235294117,0.0,0.0,0.0,0.0588235294117647,14.0,0.0,0.0,2.0,480.0,0.0,0.0,0.1428571428571428,34.285714285714285,20.0,0.0,0.0,1.0,73.0,54.90909090909091,0.0,0.0,0.05,3.65,10.0,0.0510204081632653,2
