,race_code,race_url,Date:,Start time:,Avg. speed winner:,Race category:,Distance:,Points scale:,UCI scale:,Parcours type:,ProfileScore:,Vert. meters:,Departure:,Arrival:,Race ranking:,Startlist quality score:,Won how:,Avg. temperature:
32,cyclassics-hamburg/2019,https://www.procyclingstats.com/race/cyclassics-hamburg/2019,25-Aug-19,11:50  (13:50 CET),45.23 km/h,ME - Men Elite,216.7 km,1.WT.B,UCI.WR.C2,,95,2502,Hamburg,Hamburg,0,633,Sprint of large group,
33,bretagne-classic/2019,https://www.procyclingstats.com/race/bretagne-classic/2019,01-Sep-19,10:48  (12:48 CET),39.975 km/h,ME - Men Elite,248.1 km,1.WT.B,UCI.WR.C2,,116,3765,Plouay,Plouay,0,741,0.8 km solo,
34,gp-quebec/2019,https://www.procyclingstats.com/race/gp-quebec/2019,13-Sep-19,17:00  (19:00 CET),38.643 km/h,ME - Men Elite,201.6 km,1.WT.B,UCI.WR.C1,,64,2508,Québec,Québec,0,821,Sprint of large group,
35,gp-montreal/2019,https://www.procyclingstats.com/race/gp-montreal/2019,15-Sep-19,16:15  (18:15 CET),35.646 km/h,ME - Men Elite,219.6 km,1.WT.B,UCI.WR.C1,,229,4793,Montréal,Montréal,0,821,Sprint of small group,
36,il-lombardia/2019,https://www.procyclingstats.com/race/il-lombardia/2019,12-Oct-19,10:40  (12:40 CET),41.305 km/h,ME - Men Elite,243 km,1.WT.A,UCI.WR.C1,,266,4087,Bergamo,Como,0,1046,18.3 km solo,
124,world-championships-itt-u23/2019,https://www.procyclingstats.com/race/world-championships-itt-u23/2019,24-Sep-19,-,45.074 km/h,MU - Men U23,30.3 km,UCI.WO.u23.TT,UCI.WR.WO.U23.TT,,30,437,Ripon,Harrogate,0,36,Time Trial,
125,world-championship-itt/2019,https://www.procyclingstats.com/race/world-championship-itt/2019,25-Sep-19,14:18  (16:18 CET),49.782 km/h,ME - Men Elite,54 km,Worlds.TT,UCI.WR.WO.TT - TM2022,,31,564,Northallerton,Harrogate,0,258,Time Trial,
126,world-championships-u23/2019,https://www.procyclingstats.com/race/world-championships-u23/2019,27-Sep-19,-,44.025 km/h,MU - Men U23,171.6 km,Nationals.C1,UCI.WR.WO.U23,,46,1733,Doncaster,Harrogate,0,78,Sprint of small group,
127,world-championship/2019,https://www.procyclingstats.com/race/world-championship/2019,29-Sep-19,10:20  (12:20 CET),40.37 km/h,ME - Men Elite,260.7 km,Worlds.RR,UCI.WR.WO - TM2022,,82,3220,Leeds,Harrogate,0,1510,Sprint of small group,
260,clasica-de-almeria/2019,https://www.procyclingstats.com/race/clasica-de-almeria/2019,17-Feb-19,13:15,43.102 km/h,ME - Men Elite,192.5 km,1.PRO,UCI.WR.Pro,,27,1888,Almeria,Roquetas de Mar,0,237,Sprint of small group,
261,trofeo-laigueglia/2019,https://www.procyclingstats.com/race/trofeo-laigueglia/2019,17-Feb-19,11:00,39.381 km/h,ME - Men Elite,203.7 km,1.PRO,UCI.WR.Pro,,144,3005,Laigueglia,Laigueglia,0,107,35 km solo,
262,kuurne-brussel-kuurne/2019,https://www.procyclingstats.com/race/kuurne-brussel-kuurne/2019,03-Mar-19,11:53,42.651 km/h,ME - Men Elite,201.1 km,1.PRO,UCI.WR.Pro,,40,2109,Kuurne,Kuurne,0,597,16.2 km solo,
263,gp-industria-artigianato/2019,https://www.procyclingstats.com/race/gp-industria-artigianato/2019,10-Mar-19,10:45,42.683 km/h,ME - Men Elite,199.2 km,1.PRO,UCI.WR.Pro,,88,2153,Larciano,Larciano,0,291,Sprint a deux,
264,ronde-van-drenthe/2019,https://www.procyclingstats.com/race/ronde-van-drenthe/2019,17-Mar-19,12:10,41.34 km/h,ME - Men Elite,217.6 km,1.PRO,UCI.WR.Pro,,5,529,Zuidwolde,Hoogeveen,0,147,Sprint a deux,
265,nokere-koers/2019,https://www.procyclingstats.com/race/nokere-koers/2019,20-Mar-19,12:40,43.049 km/h,ME - Men Elite,195.6 km,1.PRO,UCI.WR.Pro,,7,1131,Deinze,Nokere,0,296,Sprint of small group,
266,bredene-koksijde-classic/2019,https://www.procyclingstats.com/race/bredene-koksijde-classic/2019,22-Mar-19,12:37,43.404 km/h,ME - Men Elite,199.5 km,1.PRO,UCI.WR.Pro,,5,514,Bredene,Koksijde,0,251,Sprint of large group,
267,gp-de-denain/2019,https://www.procyclingstats.com/race/gp-de-denain/2019,24-Mar-19,12:08,45.404 km/h,ME - Men Elite,198 km,1.PRO,UCI.WR.Pro,,1,871,Denain,Denain,0,151,8.6 km solo,
268,scheldeprijs/2019,https://www.procyclingstats.com/race/scheldeprijs/2019,10-Apr-19,12:43  (14:43 CET),45.503 km/h,ME - Men Elite,202.3 km,1.PRO,UCI.WR.Pro,,0,240,Borsele,Schoten,0,311,Sprint of large group,
269,brabantse-pijl/2019,https://www.procyclingstats.com/race/brabantse-pijl/2019,17-Apr-19,12:40  (14:40 CET),42.779 km/h,ME - Men Elite,196.2 km,1.PRO,UCI.WR.Pro,,65,2145,Leuven,Overijse,0,465,Sprint of small group,
270,gp-du-canton-d-argovie/2019,https://www.procyclingstats.com/race/gp-du-canton-d-argovie/2019,13-Jun-19,14:30  (16:30 CET),41.783 km/h,ME - Men Elite,185.9 km,1.PRO,UCI.WR.Pro,,81,2422,Leuggern,Leuggern,0,212,Sprint of large group,
271,brussels-cycling-classic/2019,https://www.procyclingstats.com/race/brussels-cycling-classic/2019,07-Sep-19,11:40  (13:40 CET),43.04 km/h,ME - Men Elite,190.5 km,1.PRO,UCI.WR.Pro,,47,1815,Brussels,Brussels,0,465,Sprint of large group,
272,gp-de-fourmies/2019,https://www.procyclingstats.com/race/gp-de-fourmies/2019,08-Sep-19,12:05  (14:05 CET),42.934 km/h,ME - Men Elite,205 km,1.PRO,UCI.WR.Pro,,37,2078,Fourmies,Fourmies,0,295,Sprint of large group,
273,gp-impanis-van-petegem/2019,https://www.procyclingstats.com/race/gp-impanis-van-petegem/2019,21-Sep-19,12:25  (14:25 CET),42.718 km/h,ME - Men Elite,197 km,1.PRO,UCI.WR.Pro,,33,1735,Brakel,Haacht,0,495,3 km solo,
274,munsterland-giro/2019,https://www.procyclingstats.com/race/munsterland-giro/2019,03-Oct-19,12:00  (14:00 CET),43.5 km/h,ME - Men Elite,193.3 km,1.PRO,UCI.WR.Pro,,12,1097,Emsdetten,Münster,0,411,Sprint of small group,
275,giro-dell-emilia/2019,https://www.procyclingstats.com/race/giro-dell-emilia/2019,05-Oct-19,11:30  (13:30 CET),40.39 km/h,ME - Men Elite,207.4 km,1.PRO,UCI.WR.Pro,,205,3307,Bologna,San Luca,0,734,0.8 km solo,
276,circuit-franco-belge/2019,https://www.procyclingstats.com/race/circuit-franco-belge/2019,05-Oct-19,13:05  (15:05 CET),46.534 km/h,ME - Men Elite,176.7 km,1.PRO,UCI.WR.Pro,,20,1493,La Louvière,Tournai,0,238,Sprint of large group,
277,gp-bruno-beghelli/2019,https://www.procyclingstats.com/race/gp-bruno-beghelli/2019,06-Oct-19,11:45  (13:45 CET),43.329 km/h,ME - Men Elite,199.3 km,1.PRO,UCI.WR.Pro,,52,1682,Monteveglio,Monteveglio,0,536,Sprint of small group,
278,tre-valli-varesine/2019,https://www.procyclingstats.com/race/tre-valli-varesine/2019,08-Oct-19,12:00  (14:00 CET),42.27 km/h,ME - Men Elite,197.8 km,1.PRO,UCI.WR.Pro,,138,3153,Saronno,Varese,0,837,0.5 km solo,
279,milano-torino/2019,https://www.procyclingstats.com/race/milano-torino/2019,09-Oct-19,12:15  (14:15 CET),44.053 km/h,ME - Men Elite,179 km,1.PRO,UCI.WR.Pro,,167,1413,Magenta,Torino,0,748,0.3 km solo,
280,gran-piemonte/2019,https://www.procyclingstats.com/race/gran-piemonte/2019,10-Oct-19,12:00  (14:00 CET),41.549 km/h,ME - Men Elite,183 km,1.PRO,UCI.WR.Pro,,195,2150,Agliè,Santuario di Oropa,0,423,0.4 km solo,
281,paris-tours/2019,https://www.procyclingstats.com/race/paris-tours/2019,13-Oct-19,11:40  (13:40 CET),38.943 km/h,ME - Men Elite,217 km,1.PRO,UCI.WR.Pro,,29,1254,Chartres,Tours,0,300,44 km solo,
476,l-etoile-d-or/2019,https://www.procyclingstats.com/race/l-etoile-d-or/2019,04-May-19,-,42.39 km/h,MU - Men U23,180 km,E-1.Ncup,UCI.WR.Ncup,,,,Lussac-les-Châteaux,Civaux,0,7,? - let us know!,
